_id,CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Túneles lavado
1,72400,AEROPORT,41.3038736,2.0724734,"ZONA AEROPUERTO, S/N",8820,"Prat de Llobregat, El",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72400.pdf,""
2,78804,ARC DE TRIOMF,41.3924353,2.1804163,"PASSEIG SANT JOAN, S/N",8010,Barcelona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78804.pdf,""
3,79600,ARENYS DE MAR,41.5776847,2.5492036,"PLAYA CASSA, S/N",8350,Arenys de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79600.pdf,""
4,79404,BADALONA,41.4458407,2.2488907,"PLAÇA ROCAI PI, 1",8911,Badalona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79404.pdf,""
5,77106,BALENYA-ELS HOSTALETS,41.8144863,2.2329795,"CALLE ESTACION DE FERROCARRIL, S/N",8554,Balenyà,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77106.pdf,""
6,77107,BALENYA-TONA-SEVA,41.8417065,2.2473584,"CALLE BISBE PERELLO, S/N",8554,Seva,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77107.pdf,""
7,78705,BARBERA DEL VALLES,41.5131445,2.1183542,"PLAZA DE ESPANYA, S/N",8210,Barberà del Vallès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78705.pdf,""
8,79009,BARCELONA-CLOT-ARAGO,41.4095992,2.1905257,"PLAZA CANONGE RODO, S/N",8026,Barcelona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79009.pdf,""
9,79400,BARCELONA-ESTACIO DE FRANÇA,41.3844324,2.1853105,"AVENIDA MARQUES DE ARGENTERA, S/N",8003,Barcelona,Barcelona,"",""
10,71802,BARCELONA-PASSEIG DE GRACIA,41.392338,2.164656,"PASSEIG DE GRACIA - ESQUINA ARAGO, S/N",8007,Barcelona,Barcelona,"",""
11,79004,BARCELONA-SANT ANDREU COMTAL,41.435673,2.1934035,"PLAÇA DE L'ESTACIO, S/N",8030,Barcelona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79004.pdf,""
12,71801,BARCELONA-SANTS,41.379335,2.1394773,"PLAÇA DELS PAISOS CATALANS, 1 - 7",8014,Barcelona,Barcelona,"",""
13,71708,BELLVITGE,41.355564,2.1152487,"AVENIDA VILANOVA, S/N",8901,"Hospitalet de Llobregat, L'",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71708.pdf,""
14,79606,BLANES,41.6737575,2.769047,"CALLE ESTACIO FERROCARRIL, S/N",17300,Blanes,Girona,https://data.renfe.com/files/estaciones/FichaEstacion79606.pdf,""
15,77112,BORGONYA,42.0646475,2.2419078,"CARRETERA BV-5626 - CARRER BORGONYA, S/N",8571,Sant Vicenç de Torelló,Barcelona,"",""
16,79412,CABRERA DE MAR-VILASSAR DE MAR,41.506864,2.4013433,"AVENIDA DEL MARESME, 1",8349,Vilassar de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79412.pdf,""
17,71601,CALAFELL,41.1895998,1.5745238,"CALLE ESTACION FERROCARRIL, S/N",43820,Calafell,Tarragona,https://data.renfe.com/files/estaciones/FichaEstacion71601.pdf,""
18,79502,CALDES D'ESTRAC,41.5685224,2.5271529,"CALLE EL CALLAO, S/N",8393,Caldes d'Estrac,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79502.pdf,""
19,79603,CALELLA,41.6147387,2.6656214,"CALLE ASELMO CLAVE, S/N",8370,Calella,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79603.pdf,""
20,77301,CAMPDEVANOL,42.2216131,2.1657572,"PLAÇA ESTACIO FERROCARRIL, 1",17530,Campdevànol,Girona,"",""
21,79601,CANET DE MAR,41.5865608,2.5811047,"CALLE DEL MAR, 11",8360,Canet de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79601.pdf,""
22,79101,CARDEDEU,41.6356234,2.3589649,"CALLE JAIME I, S/N",8440,Cardedeu,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79101.pdf,""
23,78605,CASTELLBELL I EL VILAR-MONISTROL DE MONTSERRAT,41.628645,1.8681931,"CALLE CAMINO DE LA ESTACION, S/N",8296,Castellbell i el Vilar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78605.pdf,""
24,72210,CASTELLBISBAL,41.4732577,1.9679072,"CALLE ESTACION DE FERROCARRIL, S/N",8755,Castellbisbal,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72210.pdf,""
25,71705,CASTELLDEFELS,41.2787584,1.9786173,"PLAÇA ESTACIO FERROCARRIL, S/N",8860,Castelldefels,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71705.pdf,""
26,77105,CENTELLES,41.7994546,2.2226634,"CALLE MARQUES DE PEÑAPLATA, S/N",8540,Centelles,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77105.pdf,""
27,78706,CERDANYOLA DEL VALLES,41.4931904,2.146393,"AVENIDA PRIMAVERA, S/N",8290,Cerdanyola del Vallès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78706.pdf,""
28,72503,CERDANYOLA UNIVERSITAT,41.4960945,2.1150336,"CARRETERA B-30 - UNIVERSITAT AUTONOMA DE BARCELONA - ESTACION FERROCARRIL, S/N",8290,Cerdanyola del Vallès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72503.pdf,""
29,72303,CORNELLA,41.3580326,2.0694776,"PLAZA ESTACION FERROCARRIL, S/N",8940,Cornellà de Llobregat,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72303.pdf,""
30,71604,CUBELLES,41.2043089,1.6759281,"CALLE ESTACION DE FERROCARRIL, S/N",8880,Cubelles,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71604.pdf,""
31,71603,CUNIT,41.1949866,1.631522,"CALLE ESTACION DE FERROCARRIL, S/N",43881,Cunit,Tarragona,https://data.renfe.com/files/estaciones/FichaEstacion71603.pdf,""
32,79407,EL MASNOU,41.477027,2.310429,"CARRER MOSSEN JACINT VERDAGUER, 1",8320,"Masnou, El",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79407.pdf,""
33,72211,EL PAPIOL,41.4354,2.002539,"CARRETERA C-1413A - ESTACION FERROCARRIL, S/N",8754,"Papiol, El",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72211.pdf,""
34,71707,EL PRAT DE LLOBREGAT,41.3314058,2.0906231,"AVINGUDA ENRIC PRAT DE LA RIBA, S/N",8820,"Prat de Llobregat, El",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71707.pdf,""
35,72201,EL VENDRELL,41.2182587,1.5359795,"CALLE JAUME CARNER, S/N",43700,"Vendrell, El",Tarragona,https://data.renfe.com/files/estaciones/FichaEstacion72201.pdf,""
36,72203,ELS MONJOS,41.3146746,1.6599427,"LLANO PLA DE LA ESTACIO, S/N",8730,Santa Margarida i els Monjos,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72203.pdf,""
37,77103,FIGARO,41.724218,2.2716195,"CALLE ESTACION DE FERROCARRIL, S/N",8530,Figaró-Montmany,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77103.pdf,""
38,71703,GARRAF,41.2545489,1.9023463,"PLAÇA ESTACIO FERROCARRIL, S/N",8871,Sitges,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71703.pdf,""
39,71706,GAVA,41.3032321,2.0098046,"CALLE SALAMANCA, 1",8850,Gavà,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion71706.pdf,""
40,72208,GELIDA,41.4482158,1.8647788,"POL. IND. LA GELIDENSE - ESTACIO FERROCARRIL, S/N",8790,Gelida,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72208.pdf,""
41,77006,GRANOLLERS-CANOVELLES,41.6113434,2.2772799,"CALLE JOAN MARAGALL, S/N",8400,Granollers,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77006.pdf,""
42,79100,GRANOLLERS-CENTRE,41.599741,2.291247,"PLAÇA SERRAT I BONASTRE, S/N",8400,Granollers,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79100.pdf,""
43,79105,GUALBA,41.7181933,2.5387372,"CALLE BARRIO DE LA ESTACIO, S/N",8470,Gualba,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79105.pdf,""
44,79107,HOSTALRIC,41.7479722,2.6315024,"CALLE BAJADA DE LA ESTACIO, S/N",17450,Hostalric,Girona,https://data.renfe.com/files/estaciones/FichaEstacion79107.pdf,""
45,77114,LA FARGA DE BEBIE,42.1300831,2.2039106,"CARRETERA N-152A - ESTACION FERROCARRIL, S/N",17532,"Llosses, Les",Girona,"",""
46,77102,LA GARRIGA,41.686099,2.2888386,"CALLE RONDA DE CARRIL, 47",8530,"Garriga, La",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77102.pdf,""
47,72205,LA GRANADA,41.3639003,1.7341398,"CALLE ESTACIO FERROCARRIL, S/N",8792,"Granada, La",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72205.pdf,""
48,79011,LA LLAGOSTA,41.5103531,2.1994129,"CALLE ESTACIO FERROCARRIL, S/N",8120,"Llagosta, La",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79011.pdf,""
49,77306,LA MOLINA,42.3445934,1.9559514,"CARRER L'ESTACIO FERROCARRIL, 3",17537,Alp,Girona,"",""
50,78806,LA SAGRERA-MERIDIANA,41.424371,2.188854,"AVINGUDA MERIDIANA, S/N",8027,Barcelona,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78806.pdf,""
51,72202,L'ARBOÇ,41.2738229,1.6001033,"CALLE DEL FERROCARRIL, S/N",43702,"Arboç, L'",Tarragona,https://data.renfe.com/files/estaciones/FichaEstacion72202.pdf,""
52,72206,LAVERN-SUBIRATS,41.3957338,1.7694788,"CALLE ESTACIO DE LAVERN, S/N",8739,Subirats,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72206.pdf,""
53,77100,LES FRANQUESES DEL VALLES,41.6289563,2.2952142,"CARRETERA DE RIBAS, 122",8520,"Franqueses del Vallès, Les",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77100.pdf,""
54,79109,LES FRANQUESES-GRANOLLERS NORD,41.6169899,2.2945361,"CALLE CARRER ARAGO, S/N",8521,"Franqueses del Vallès, Les",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79109.pdf,""
55,72305,L'HOSPITALET DE LLOBREGAT,41.364207,2.09866,"CALLE AVINGUDA JOSEP TARRADELLAS, 192",8901,"Hospitalet de Llobregat, L'",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72305.pdf,""
56,79102,LLINARS DEL VALLES,41.638723,2.4057269,"CALLE MONSERRAT CULLEL, S/N",8450,Llinars del Vallès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79102.pdf,""
57,79200,MAÇANET-MASSANES,41.7072202,2.719419,"CARRETERA DE HOSTALRIC, KM 47",17412,Maçanet de la Selva,Girona,https://data.renfe.com/files/estaciones/FichaEstacion79200.pdf,""
58,79605,MALGRAT DE MAR,41.6386953,2.7343186,"PASEO LEVANTE, 1",8380,Malgrat de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79605.pdf,""
59,77110,MANLLEU,41.9998791,2.2693136,"CARRER D' EN SANTIAGO RUSIÑOL, 73 - PASSEIG L'ESTACIO FERROCARRIL, S/N",8560,Manlleu,Barcelona,"",""
60,78600,MANRESA,41.7204521,1.8267803,"CARRETERA MANRESA A ABRERA, S/N",8240,Manresa,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78600.pdf,""
61,72209,MARTORELL,41.4794339,1.9266805,"CALLE COMERCIO, 2",8760,Martorell,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72209.pdf,""
62,79500,MATARO,41.533679,2.4454458,"AVENIDA DEL MARESME, S/N",8301,Mataró,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79500.pdf,""
63,72300,MOLINS DE REI,41.4106681,2.0200844,"PLAÇA L'ESTACIO FERROCARRIL, 1",8750,Molins de Rei,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion72300.pdf,""
64,79006,MOLLET-SANT FOST,41.5334106,2.217228,"CALLE RONDA ORIENT, 1",8100,Mollet del Vallès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79006.pdf,""
65,77004,MOLLET-SANTA ROSA,41.5372765,2.2058264,"CALLE JOAN MARAGALL, S/N",8100,Mollet del Vallès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77004.pdf,""
66,79005,MONTCADA I REIXAC,41.484248,2.188077,"CARRER GENERALITAT, 7",8110,Montcada i Reixac,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79005.pdf,""
67,78708,MONTCADA I REIXAC-MANRESA,41.4837509,2.1855549,"CARRETERA VELLA, S/N",8110,Montcada i Reixac,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78708.pdf,""
68,78707,MONTCADA I REIXAC-SANTA MARIA,41.483927,2.185392,"PASSATGE MANRESA, S/N",8110,Montcada i Reixac,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78707.pdf,""
69,78800,MONTCADA-BIFURCACIO,41.470733,2.1793281,"CARRER BATERIA, S/N",8041,Montcada i Reixac,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion78800.pdf,https://data.renfe.com/files/estaciones/FichaTunel78800.pdf
70,77002,MONTCADA-RIPOLLET,41.496746,2.181925,"CARRER MARIA FORTUNY, S/N",8110,Montcada i Reixac,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77002.pdf,""
71,79405,MONTGAT,41.4631131,2.2719603,"CALLE MARINA, S/N",8390,Montgat,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79405.pdf,""
72,79406,MONTGAT-NORD,41.4688828,2.2867775,"CARRETERA NACIONAL N-II, S/N",8390,Montgat,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79406.pdf,""
73,79007,MONTMELO,41.5502523,2.2464562,"CALLE MIQUEL BIADA, S/N",8160,Montmeló,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79007.pdf,""
74,79408,OCATA,41.4788285,2.3200155,"CARRETERA N-II - ESTACION FERROCARRIL, S/N",8320,"Masnou, El",Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79408.pdf,""
75,79103,PALAUTORDERA,41.6714084,2.4536742,"CARRETERA LOCAL BV-5301, KM. 1",8460,Santa Maria de Palautordera,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79103.pdf,""
76,77005,PARETS DEL VALLES,41.5561401,2.2266276,"AVENIDA ESTACION FERROCARRIL, S/N",8150,Parets del Vallès,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion77005.pdf,""
77,79604,PINEDA DE MAR,41.6222525,2.6929077,"PLAÇA ESTACIO FERROCARRIL, S/N",8397,Pineda de Mar,Barcelona,https://data.renfe.com/files/estaciones/FichaEstacion79604.pdf,""
