TIPO DE TRANSPORTE;Ciudad;Viajeros y tasas;Periodo;Total
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2025M07;19.648
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2025M06;19.336
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2025M05;21.335
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2025M04;19.300
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2025M03;20.535
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2025M02;19.151
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2025M01;18.611
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M12;17.209
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M11;19.243
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M10;22.064
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M09;18.711
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M08;14.576
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M07;19.412
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M06;19.077
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M05;20.555
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M04;20.383
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M03;19.121
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M02;19.582
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2024M01;18.407
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M12;16.904
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M11;20.307
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M10;21.132
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M09;18.295
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M08;14.118
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M07;18.316
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M06;18.255
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M05;18.915
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M04;16.483
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M03;19.346
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M02;16.159
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2023M01;15.818
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M12;14.974
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M11;17.387
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M10;17.939
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M09;16.159
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M08;12.268
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M07;15.744
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M06;15.907
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M05;17.259
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M04;15.155
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M03;16.698
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M02;14.153
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2022M01;12.695
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M12;13.883
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M11;15.949
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M10;15.808
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M09;14.105
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M08;9.550
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M07;12.961
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M06;13.880
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M05;13.163
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M04;12.177
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M03;12.984
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M02;10.587
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2021M01;9.649
Transporte urbano regular por autobús;08019 Barcelona;Viajeros transportados;2020M12;11.147
