FID,ID_ESTACIO,CODI_GRUP_ESTACIO,NOM_ESTACIO,PICTO,DATA,GEOMETRY
ESTACIONS.111,111,6660111,Hospital de Bellvitge,L1,2025-10-05,POINT (2.1072421350644093 41.344677452264776)
ESTACIONS.112,112,6660112,Bellvitge,L1,2025-10-05,POINT (2.1109182897923735 41.35097352459213)
ESTACIONS.113,113,6660113,Av. Carrilet,L1,2025-10-05,POINT (2.1026452939747284 41.35852162448053)
ESTACIONS.114,114,6660114,Rambla Just Oliveras,L1,2025-10-05,POINT (2.0997493392175293 41.3640899130925)
ESTACIONS.115,115,6660115,Can Serra,L1,2025-10-05,POINT (2.10275470564125 41.36769339471756)
ESTACIONS.116,116,6660116,Florida,L1,2025-10-05,POINT (2.1100273658989885 41.36831605180378)
ESTACIONS.117,117,6660117,Torrassa,L1L9SL10S,2025-10-05,POINT (2.1160894327460174 41.36826071279739)
ESTACIONS.118,118,6660118,Santa Eulàlia,L1,2025-10-05,POINT (2.1286172553621183 41.36881637467315)
ESTACIONS.119,119,6660119,Mercat Nou,L1,2025-10-05,POINT (2.133535784694404 41.373002700088556)
ESTACIONS.120,120,6660120,Plaça de Sants,L1L5,2025-10-05,POINT (2.135575555495535 41.3755322522621)
ESTACIONS.121,121,6660121,Hostafrancs,L1,2025-10-05,POINT (2.1432912673316498 41.37525362810128)
ESTACIONS.122,122,6660122,Espanya,L1L3,2025-10-05,POINT (2.1493870030135134 41.37545911098498)
ESTACIONS.123,123,6660123,Rocafort,L1,2025-10-05,POINT (2.154562483439547 41.37923215305268)
ESTACIONS.124,124,6660124,Urgell,L1,2025-10-05,POINT (2.1588909108500465 41.38248740020102)
ESTACIONS.125,125,6660125,Universitat,L1L2,2025-10-05,POINT (2.1640585462441195 41.385587897267456)
ESTACIONS.126,126,6660126,Catalunya,L1L3,2025-10-05,POINT (2.1697167625790152 41.38771322435357)
ESTACIONS.127,127,6660127,Urquinaona,L1L4,2025-10-05,POINT (2.173667761230702 41.38884688371719)
ESTACIONS.128,128,6660128,Arc de Triomf,L1,2025-10-05,POINT (2.181164673248104 41.392336659636584)
ESTACIONS.129,129,6660129,Marina,L1,2025-10-05,POINT (2.1858010331425235 41.39472528791244)
ESTACIONS.130,130,6660130,Glòries,L1,2025-10-05,POINT (2.187537470950601 41.4022772166665)
ESTACIONS.131,131,6660131,Clot,L1L2,2025-10-05,POINT (2.186978119157032 41.41051171434685)
ESTACIONS.132,132,6660132,Navas,L1,2025-10-05,POINT (2.1870567842653172 41.41618670887784)
ESTACIONS.133,133,6660133,La Sagrera,L1L5L9NL10N,2025-10-05,POINT (2.1868113297846263 41.420695942446166)
ESTACIONS.134,134,6660134,Fabra i Puig,L1,2025-10-05,POINT (2.183661431503222 41.42963259534842)
ESTACIONS.135,135,6660135,Sant Andreu,L1,2025-10-05,POINT (2.1911883955920586 41.436610370679226)
ESTACIONS.136,136,6660136,Torras i Bages,L1,2025-10-05,POINT (2.190670630058029 41.44322471120022)
ESTACIONS.137,137,6660137,Trinitat Vella,L1,2025-10-05,POINT (2.19383728111338 41.448956491210204)
ESTACIONS.138,138,6660138,Baró de Viver,L1,2025-10-05,POINT (2.1995630177315273 41.449935998152824)
ESTACIONS.139,139,6660139,Santa Coloma,L1,2025-10-05,POINT (2.2079694594622845 41.451067345464494)
ESTACIONS.140,140,6660140,Fondo,L1L9N,2025-10-05,POINT (2.2185381152902193 41.45168718673928)
ESTACIONS.210,210,6660210,Paral·lel,L2L3FM,2025-10-05,POINT (2.169029367599338 41.37458125876583)
ESTACIONS.211,211,6660211,Sant Antoni,L2,2025-10-05,POINT (2.1632411382555055 41.37983283932031)
ESTACIONS.213,213,6660213,Passeig de Gràcia,L2L3L4,2025-10-05,POINT (2.16735100565212 41.390106323828306)
