FID,ID_ESTACIO_LINIA,CODI_ESTACIO_LINIA,ID_GRUP_ESTACIO,CODI_GRUP_ESTACIO,ID_ESTACIO,CODI_ESTACIO,NOM_ESTACIO,ORDRE_ESTACIO,ID_LINIA,CODI_LINIA,NOM_LINIA,ORDRE_LINIA,ID_TIPUS_SERVEI,DESC_SERVEI,ORIGEN_SERVEI,DESTI_SERVEI,ID_TIPUS_ACCESSIBILITAT,NOM_TIPUS_ACCESSIBILITAT,ID_TIPUS_ESTAT,NOM_TIPUS_ESTAT,DATA_INAUGURACIO,DATA,COLOR_LINIA,PICTO,PICTO_GRUP,GEOMETRY
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1477,167,111,111,6660111,81,111,Hospital de Bellvitge,1,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1989-10-18,2025-10-05,CE1126,L1,L1,POINT (2.107241921905464 41.344677306491334)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1476,119,112,112,6660112,33,112,Bellvitge,2,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1989-10-18,2025-10-05,CE1126,L1,L1,POINT (2.1109169952642675 41.35097554129953)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1475,120,113,113,6660113,34,113,L'Hospitalet - Av. Carrilet,3,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1987-04-24,2025-10-05,CE1126,L1,L1,POINT (2.102631528901838 41.35855331385863)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1474,168,114,114,6660114,82,114,Rambla Just Oliveras,4,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1987-04-24,2025-10-05,CE1126,L1,L1,POINT (2.0997493392175293 41.3640899130925)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1473,121,115,115,6660115,35,115,Can Serra,5,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1987-04-24,2025-10-05,CE1126,L1,L1,POINT (2.1027575190099883 41.367694011134795)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1472,122,116,116,6660116,36,116,Florida,6,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1987-04-24,2025-10-05,CE1126,L1,L1,POINT (2.1100273658989885 41.36831605180378)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1471,169,117,117,6660117,83,117,Torrassa,7,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1983-12-23,2025-10-05,CE1126,L1,L1L9SL10S,POINT (2.1165937852524435 41.36839566052364)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1470,123,118,118,6660118,37,118,Santa Eulàlia,8,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1983-12-23,2025-10-05,CE1126,L1,L1,POINT (2.1286172553621183 41.36881637467315)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-146f,205,119,119,6660119,128,119,Mercat Nou,9,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1926-06-10,2025-10-05,CE1126,L1,L1,POINT (2.133535784694404 41.373002700088556)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-146e,201,120,120,6660120,124,120,Plaça de Sants,10,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,3,No accessible,1,Operatiu,1926-06-10,2025-10-05,CE1126,L1,L1L5,POINT (2.1381539316094176 41.37535306523874)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-146d,96,121,121,6660121,10,121,Hostafrancs,11,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1926-06-10,2025-10-05,CE1126,L1,L1,POINT (2.1432912673316498 41.37525362810128)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-146c,125,122,122,6660122,39,122,Espanya,12,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,3,No accessible,1,Operatiu,1926-06-10,2025-10-05,CE1126,L1,L1L3,POINT (2.1493824969898103 41.37551004426985)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-146b,198,123,123,6660123,121,123,Rocafort,13,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1926-06-10,2025-10-05,CE1126,L1,L1,POINT (2.154562483439547 41.37923215305268)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-146a,124,124,124,6660124,38,124,Urgell,14,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1926-06-10,2025-10-05,CE1126,L1,L1,POINT (2.1588909108500465 41.38248740020102)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1469,171,125,125,6660125,85,125,Universitat,15,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1926-06-10,2025-10-05,CE1126,L1,L1L2,POINT (2.1642838555557415 41.385814896985046)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1468,170,126,126,6660126,84,126,Plaça de Catalunya station,16,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1926-06-10,2025-10-05,CE1126,L1,L1L3,POINT (2.168994603265247 41.38748942850508)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1467,126,127,127,6660127,40,127,Urquinaona,17,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,3,No accessible,1,Operatiu,1933-07-01,2025-10-05,CE1126,L1,L1L4,POINT (2.174566581524138 41.389636425102836)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1466,209,128,128,6660128,134,128,Arc de Triomf,18,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1933-07-01,2025-10-05,CE1126,L1,L1,POINT (2.181164673248104 41.392336659636584)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1465,172,129,129,6660129,86,129,Marina,19,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1933-04-01,2025-10-05,CE1126,L1,L1,POINT (2.1858010331425235 41.39472528791244)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1464,127,130,130,6660130,41,130,Glòries,20,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1951-06-23,2025-10-05,CE1126,L1,L1,POINT (2.187537470950601 41.4022772166665)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1463,148,131,131,6660131,62,131,Clot,21,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,3,No accessible,1,Operatiu,1951-06-23,2025-10-05,CE1126,L1,L1L2,POINT (2.1870027074695884 41.41016343442273)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1462,130,132,132,6660132,44,132,Navas,22,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1953-05-08,2025-10-05,CE1126,L1,L1,POINT (2.1870567842653172 41.41618670887784)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1461,173,133,133,6660133,87,133,La Sagrera-Meridiana station,23,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1954-01-27,2025-10-05,CE1126,L1,L1L5L9NL10N,POINT (2.1869753319473184 41.42236876778433)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1460,128,134,134,6660134,42,134,Fabra i Puig,24,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1954-05-15,2025-10-05,CE1126,L1,L1,POINT (2.183661431503222 41.42963259534842)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-145f,174,135,135,6660135,88,135,Sant Andreu,25,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1968-03-14,2025-10-05,CE1126,L1,L1,POINT (2.1911868908810366 41.43660044290323)
