ID,Titulo,Fecha de Inicio,Fecha de Finalizacion,Descripción,Organizadores,Enlace web evento,Telefono,Nombre del sitio,Codigo postal,Nombre del Municipio,Localización organizadores,Enlace web organizadores,Codigo municipio,Duracion (h),Comarca,Dias,Categoria,Dirección,Codigo comarca,Localizacion evento,Tlfn Asistencia,Tlfn Aforamiento fax,Inscripcion,URL municipio,Codigo URL municipio,Foto organizador,Foto evento,Censo,Precio,Aforo,Etiquetas,Tipo,Anuncio
688f26b5c763922b3f7ae0e7,La cuina en joc,2025-09-11,2025-09-20,"Un taller per a famílies on cada equip haurà de superar proves, crear 2 receptes i lluitar per la “Benet Star”. Esteu preparats per portar el vostre restaurant a la fama?",https://www.wikidata.org/wiki/Q11938268,https://www.barcelonaesmoltmes.cat/-/la-cuina-en-joc-5,938759401,https://www.wikidata.org/wiki/Q11938268,08272,https://www.wikidata.org/wiki/Q16730,"41.7428681,1.8991577",https://monsantbenet.com/ca/,08213,7,https://www.wikidata.org/wiki/Q15346,8,Activitat,"Ctra. de Vic, 35-37, 08272 Sant Fruitós de Bages",08272,"41.7507327,1.8734178",938789700,938760486,ajuntament@santfruitos.cat,https://www.santfruitos.cat,P0821200C,https://media.diba.cat/diba/municipis/img/escuts/ec08213.png,https://media.diba.cat/diba/municipis/img/vistes/vista08213.jpg,9248,22.2,246,Bages;En família;Sant Fruitós de Bages;Gastronomia;Paisatges Barcelona,Activitat pagament,"Participa al concurs on els millors restaurants del món lluiten per aconseguir la preuada “Benet star”\<br/\>Vine en família al taller “La cuina en joc” a on cada equip defensarà el seu propi restaurant, portant el seu nom a la fama. Però, no serà fàcil. Caldrà demostrar, amb coneixements i enginy, que sou capaços de superar totes les proves i que aconseguiu realitzar amb èxit 2 receptes! El camí no serà senzill, faran falta alguns ingredients i estris per arribar a l’objectiu! Aconseguireu resoldre tots els entrebancs i fer-vos amb la preuada “Benet Star”?"
688f26b5c763922b3f7ae0e8,Wine Bar de Nadal al Celler Fargas Fargas,2025-12-13,2025-12-13,"Escudella tradicional, vins de la DO Pla de Bages i música en directe en un entorn vinícola únic. Una proposta de Nadal per compartir i brindar amb caliu",Slow Turisme,https://www.barcelonaesmoltmes.cat/-/wine-bar-de-nadal-al-celler-fargas-fargas,619715632,Celler Fargas-Fargas,08253,https://www.wikidata.org/wiki/Q16733,"41.7051720,1.7914943",https://www.slowturisme.com/,08098,7,https://www.wikidata.org/wiki/Q15346,8,Activitat,"Carrer de Dalt, 19, 08253 Sant Salvador de Guardiola",08253,"41.6779777,1.7663413",938358025,938358236,st.salvador@diba.cat,https://www.santsalvadordeguardiola.cat,P0809700H,https://media.diba.cat/diba/municipis/img/escuts/ec08098.png,https://media.diba.cat/diba/municipis/img/vistes/vista08098.jpg,3476,37.15,374,Bages;Nadal;Gastronomia i enoturisme;Sant Salvador de Guardiola;Enoturisme,Activitat pagament,"El celler Fargas Fargas (DO Pla de Bages) celebra Nadal amb una proposta acollidora i saborosa: escudella tradicional de Cal Fusteret, postres dolces, vins de proximitat i música en directe. Una experiència gastronòmica, musical i enoturística en plena vinya, ideal per desconnectar del soroll i tornar a connectar amb el territori i el ritme slow. Una manera diferent i deliciosa de començar a viure Nadal al Bages."
688f26b5c763922b3f7ae0e9,Sitgestiu 2025. Maridatge de música i vins,2025-08-31,2025-08-31,"Un viatge musical de la paraula a l’ànima, amb maridatge de vins a la fresca.",https://www.wikidata.org/wiki/Q65203699,https://www.barcelonaesmoltmes.cat/-/sitgestiu-2025.-maridatge-de-m%C3%BAsica-i-vins,,https://www.wikidata.org/wiki/Q116012772,08870,https://www.wikidata.org/wiki/Q15551,"41.2348700,1.8124710",https://www.museusdesitges.cat/ca/sitgestiu-2025/maridatge-de-musica-i-vins-la-fresca-amb-el-cor-scherzo,08270,17,https://www.wikidata.org/wiki/Q15354,8,Activitat,"Pl. Ajuntament, s/n, 08870 Sitges",08870,"41.2352175,1.8117386",938117600,938948803,ajuntament@sitges.cat,https://www.sitges.cat,P0827000A,https://media.diba.cat/diba/municipis/img/escuts/ec08270.png,https://media.diba.cat/diba/municipis/img/vistes/vista08270.jpg,32405,43.85,10,Garraf;Festes d\'estiu;Cultura i tradicions;Sitges;Espectacle;Costa Barcelona,Activitat pagament,"\<p\>El Cor Femení Scherzo, dirigit per Esteve Nabona, presenta un concert d’estiu que connecta paraula i emoció amb música de Holst, Guinovart i Sarah Quartel. Un recorregut sonor entre espiritualitat, paisatge i sensibilitat contemporània, interpretat per una formació coral de referència.\<br\> \<br\> Per completar l’experiència, el concert inclou una degustació de vins a la fresca, en col·laboració amb cellers del territori. Una vetllada per als sentits, en un entorn privilegiat.\</p\>"
688f26b5c763922b3f7ae0ea,Sitgestiu 2025. Passeig d\'aromes maridat,2025-08-29,2025-08-29,"Una experiència sensorial que uneix aromes, vins i patrimoni al cor de Maricel.",https://www.wikidata.org/wiki/Q65203699,https://www.barcelonaesmoltmes.cat/-/sitgestiu-2025.-passeig-d-aromes-maridat-1,,https://www.wikidata.org/wiki/Q11939850,08870,https://www.wikidata.org/wiki/Q15551,"41.2348700,1.8124710",https://www.museusdesitges.cat/ca/sitgestiu-2025/passeig-daromes-maridat-amb-vins-i-cava,08270,17,https://www.wikidata.org/wiki/Q15354,8,Activitat,"Pl. Ajuntament, s/n, 08870 Sitges",08870,"41.2352175,1.8117386",938117600,938948803,ajuntament@sitges.cat,https://www.sitges.cat,P0827000A,https://media.diba.cat/diba/municipis/img/escuts/ec08270.png,https://media.diba.cat/diba/municipis/img/vistes/vista08270.jpg,32405,43.85,10,Garraf;Festes d\'estiu;Cultura i tradicions;Sitges;Espectacle;Costa Barcelona,Activitat pagament,"Gaudeix d’un recorregut olfactiu pel Palau de Maricel, guiat per la perfumista Irene Gisbert i maridat amb vins i cava del celler Sumarroca, a càrrec de la sommelier Mercè Sumarroca. Un viatge sensorial que combina història, essències i tast en un entorn únic."
688f26b5c763922b3f7ae0eb,Portes Obertes Palau de Maricel,2025-08-26,2025-08-26,Un recorregut pels espais més emblemàtics d’aquest edifici noucentista amb vistes espectaculars al Mediterrani.,https://www.wikidata.org/wiki/Q65203699,https://www.barcelonaesmoltmes.cat/-/portes-obertes-palau-de-maricel,,https://www.wikidata.org/wiki/Q11939850,08870,https://www.wikidata.org/wiki/Q15551,"41.2348700,1.8124710",https://www.museusdesitges.cat/ca/sitgestiu-2025/visites-guiades-al-palau-de-maricel-14,08270,17,https://www.wikidata.org/wiki/Q15354,8,Activitat,"Pl. Ajuntament, s/n, 08870 Sitges",08870,"41.2352175,1.8117386",938117600,938948803,ajuntament@sitges.cat,https://www.sitges.cat,P0827000A,https://media.diba.cat/diba/municipis/img/escuts/ec08270.png,https://media.diba.cat/diba/municipis/img/vistes/vista08270.jpg,32405,43.85,10,Garraf;Festes d\'estiu;Cultura i tradicions;Sitges;Visites guiades;Costa Barcelona,Activitat gratuïta,"El Palau de Maricel és un dels edificis més emblemàtics de Sitges. Integrat en el conjunt artístic i monumental de Maricel, també és conegut com Maricel de Terra, per diferenciar-lo del Museu, denominat també com Maricel de Mar. El Saló d’Or, el Saló Blau, la Sala Capella, la Sala Vaixells, les terrasses o el claustre –des d’on hi ha una esplèndida panoràmica del Mediterrani– són els principals espais que estructuren el Palau. D’estil marcadament noucentista, les diferents sales es distingeixen per una decoració singular, que accentuen el seu caràcter."
688f26b5c763922b3f7ae0ec,Portes obertes Museus Cau Ferrat i Maricel,2025-08-26,2025-08-26,Descobreix la col·lecció artística dels Museus de Sitges de manera gratuïta!,https://www.wikidata.org/wiki/Q65203699,https://www.barcelonaesmoltmes.cat/-/portes-obertes-museus-cau-ferrat-i-maricel-1,,https://www.wikidata.org/wiki/Q3328423,08870,https://www.wikidata.org/wiki/Q15551,"41.2348700,1.8124710",https://www.museusdesitges.cat/ca/activitats/jornada-de-portes-obertes-al-museu-del-cau-ferrat-i-al-museu-de-maricel-2,08270,17,https://www.wikidata.org/wiki/Q15354,8,Activitat,"Pl. Ajuntament, s/n, 08870 Sitges",08870,"41.2352175,1.8117386",938117600,938948803,ajuntament@sitges.cat,https://www.sitges.cat,P0827000A,https://media.diba.cat/diba/municipis/img/escuts/ec08270.png,https://media.diba.cat/diba/municipis/img/vistes/vista08270.jpg,32405,43.85,10,Garraf;Festes d\'estiu;Cultura i tradicions;Sitges;Museus i monuments;Costa Barcelona,Activitat gratuïta,"Endinsa’t en l’univers artístic de Santiago Rusiñol al Museu del Cau Ferrat i en la riquesa patrimonial del Museu de Maricel, dos espais emblemàtics de Sitges, on el modernisme i el noucentisme dialoguen a través de col·leccions úniques, arquitectura singular i vistes excepcionals al mar."
688f26b5c763922b3f7ae0ed,Sitgestiu 2025. Jazz de Festa Major,2025-08-20,2025-08-20,Ideal per als qui estimen la festa i la música amb personalitat!,https://www.wikidata.org/wiki/Q65203699,https://www.barcelonaesmoltmes.cat/-/sitgestiu-2025.-jazz-de-festa-major,,https://www.wikidata.org/wiki/Q116012772,08870,https://www.wikidata.org/wiki/Q15551,"41.2348700,1.8124710",https://www.museusdesitges.cat/ca/sitgestiu-2025/jazz-de-festa-major,08270,17,https://www.wikidata.org/wiki/Q15354,8,Activitat,"Pl. Ajuntament, s/n, 08870 Sitges",08870,"41.2352175,1.8117386",938117600,938948803,ajuntament@sitges.cat,https://www.sitges.cat,P0827000A,https://media.diba.cat/diba/municipis/img/escuts/ec08270.png,https://media.diba.cat/diba/municipis/img/vistes/vista08270.jpg,32405,43.85,10,Garraf;Festes d\'estiu;Cultura i tradicions;Sitges;Concert;Costa Barcelona,Activitat pagament,"Format per tres músics sitgetans, Òscar Ferret al piano, Joan Pinós al contrabaix i Josep \'Pinyu\' Martí a la bateria, el grup Retrio reinterpreta les melodies populars de la Festa Major amb estils com el swing, el dixieland, el funk i la bossa nova. Un concert fresc i emocionant que dona nova vida al patrimoni sonor de Sitges des del respecte i la creativitat."
688f26b5c763922b3f7ae0ee,Visita guiada Palau de Maricel,2025-08-12,2025-08-27,Amb aquesta visita podràs descobrir un dels espais més emblemàtics d’aquest edifici noucentista amb vistes espectaculars al Mediterrani.,https://www.wikidata.org/wiki/Q65203699,https://www.barcelonaesmoltmes.cat/-/visita-guiada-palau-de-maricel-1,,https://www.wikidata.org/wiki/Q11939850,08870,https://www.wikidata.org/wiki/Q15551,"41.2348700,1.8124710",https://www.museusdesitges.cat/ca/sitgestiu-2025/visites-guiades-al-palau-de-maricel-10,08270,17,https://www.wikidata.org/wiki/Q15354,8,Activitat,"Pl. Ajuntament, s/n, 08870 Sitges",08870,"41.2352175,1.8117386",938117600,938948803,ajuntament@sitges.cat,https://www.sitges.cat,P0827000A,https://media.diba.cat/diba/municipis/img/escuts/ec08270.png,https://media.diba.cat/diba/municipis/img/vistes/vista08270.jpg,32405,43.85,10,Garraf;Festes d\'estiu;Cultura i tradicions;Sitges;Visites guiades;Costa Barcelona,Activitat pagament,"\<p\>El Palau de Maricel és un dels edificis més emblemàtics de Sitges. Integrat en el conjunt artístic i monumental de Maricel, també és conegut com Maricel de Terra, per diferenciar-lo del Museu, denominat també com Maricel de Mar. El Saló d’Or, el Saló Blau, la Sala Capella, la Sala Vaixells, les terrasses o el claustre –des d’on hi ha una esplèndida panoràmica del Mediterrani– són els principals espais que estructuren el Palau. D’estil marcadament noucentista, les diferents sales es distingeixen per una decoració singular, que accentuen el seu caràcter.\</p\> \<p\>Dies: 12, 13, 19, 20 i 27 d\'agost.\</p\>"
688f26b5c763922b3f7ae0ef,Sitgestiu 2025. Visita Sitgetana,2025-08-17,2025-08-17,"Redescobreix Sitges a través dels ulls de Rusiñol, entre art, llum i emoció.",https://www.wikidata.org/wiki/Q65203699,https://www.barcelonaesmoltmes.cat/-/sitgestiu-2025.-visita-sitgetana,,https://www.wikidata.org/wiki/Q3328423,08870,https://www.wikidata.org/wiki/Q15551,"41.2348700,1.8124710",https://www.museusdesitges.cat/ca/sitgestiu-2025/visita-sitgetana,08270,17,https://www.wikidata.org/wiki/Q15354,8,Activitat,"Pl. Ajuntament, s/n, 08870 Sitges",08870,"41.2352175,1.8117386",938117600,938948803,ajuntament@sitges.cat,https://www.sitges.cat,P0827000A,https://media.diba.cat/diba/municipis/img/escuts/ec08270.png,https://media.diba.cat/diba/municipis/img/vistes/vista08270.jpg,32405,43.85,10,Garraf;Festes d\'estiu;Cultura i tradicions;Sitges;Visites guiades;Costa Barcelona,Activitat pagament,"Un recorregut especial que ens endinsa en la petjada de Santiago Rusiñol a Sitges, el seu llegat artístic i vital, i la transformació cultural que va viure la vila gràcies a la seva arribada el 1891. Des del Cau Ferrat fins al Museu de Maricel, passant pels espais i personatges que van marcar la vida artística local, aquesta visita ofereix una mirada emocionant i profunda a la relació entre Rusiñol i Sitges. Una experiència per entendre com l’artista va convertir Sitges en una capital del modernisme, i com la vila li va oferir la llum i la inspiració que perduren a la seva obra."
688f26b5c763922b3f7ae0f0,Sitgestiu 2025. Curts fantàstics a la fresca,2025-08-16,2025-08-16,Els millors curts de cinema fantàstic brillen sota les estrelles al Racó de la Calma!,https://www.wikidata.org/wiki/Q65203699,https://www.barcelonaesmoltmes.cat/-/sitgestiu-2025.-curts-fant%C3%A0stics-a-la-fresca,,https://www.wikidata.org/wiki/Q116012772,08870,https://www.wikidata.org/wiki/Q15551,"41.2348700,1.8124710",https://www.museusdesitges.cat/ca/sitgestiu-2025/curts-fantastics-la-fresca,08270,17,https://www.wikidata.org/wiki/Q15354,8,Activitat,"Pl. Ajuntament, s/n, 08870 Sitges",08870,"41.2352175,1.8117386",938117600,938948803,ajuntament@sitges.cat,https://www.sitges.cat,P0827000A,https://media.diba.cat/diba/municipis/img/escuts/ec08270.png,https://media.diba.cat/diba/municipis/img/vistes/vista08270.jpg,32405,43.85,10,Garraf;Festes d\'estiu;Cultura i tradicions;Sitges;Espectacle;Costa Barcelona,Activitat pagament,"Projecció dels millors curtmetratges de gènere fantàstic a l’aire lliure, en col·laboració amb el Sitges-Festival Internacional de Cinema Fantàstic de Catalunya. Una nit per a cinèfils amb el Racó de la Calma convertit en una sala de cinema a l’aire lliure. Una vetllada imprescindible per als amants del gènere."
