PK,ID,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO
5989871,wifi-madrid-5989871,Auditorio Carmen Laforet (Ciudad Lineal),Ubicado en el Centro de Mayores Carmen Laforet,"De lunes a sábado, de 9 a 21 horas. Domingos y festivos y agosto cerrado.",Aforo: 190 personas Zona wifi,"Metro: Pinar de Chamartín (líneas 1, 4 y línea 1 metro ligero)",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fca22248514ae210VgnVCM1000000b205a0aRCRD,JAZMIN,CALLE,V,46,MADRID,MADRID,28033,9,COSTILLARES,15,CIUDAD LINEAL,443573,4481211,40.47967249471556,-3.6657243894913565,913 831 456,,cscsiena@madrid.es,AuditoriosSalasConcierto
11832607,wifi-madrid-11832607,Auditorio Joaquín Rosado (Moncloa-Aravaca),,El centro permanecerá abierto durante la celebración de las actividades que se programen.,Aforo: 280 personas. Zona wifi.,Consultar los siguientes enlaces:,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66615b2575814810VgnVCM1000001d4a900aRCRD,SANTA POLA,CALLE,V,22,MADRID,MADRID,28008,1,CASA DE CAMPO,9,MONCLOA-ARAVACA,437516,4475994,40.432243310641894,-3.7366613378902462,915 487 772,,ccadiaz@madrid.es,AuditoriosSalasConcierto
169873,wifi-madrid-169873,Aula ambiental La Cabaña del Retiro,"Servicio formativo y divulgativo medioambiental (Parque del Retiro): sendas interpretativas, talleres de reciclaje y elementos naturales, huerto ecológico y arboreto, conferencias, visitas a espacios naturales e instalaciones ambientales, certámenes y exposiciones de trabajos relacionados con el medio ambiente, información sobre el Parque, etc. Accesibilidad para personas con movilidad reducida a través de la Puerta del Niño Jesús.","De lunes a sábado, de 10 a 14 y de 15:30 a 19 horas. Domingos y festivos, de 10 a 14 horas. Julio y agosto: de lunes a viernes, de 10 a 14 horas.    de secretaría:   De lunes a sábado, de 10 a 14 y de 15:30 a 19 horas. Domingos y festivos, de 10 a 14 horas. Julio y agosto: de lunes a viernes, de 8 a 15 horas.  Fuera de este  el centro permanecerá abierto durante la celebración de las actividades que se programen.","Actividades:    Escolares: la Cabaña ofrece una completa oferta para grupos escolares. La duración de las actividades es de alrededor de dos horas y media.  Asociaciones y otros grupos: previa solicitud. La Cabaña ofrece actividades a grupos cerrados de diversan índole. La Cabaña del Retiro ofrece actividades familiares todos los domingos, en horario de 11 a 13 horas y los sábados por la tarde; en invierno de 16:30 a 18 horas y en verano de 17:30 a 19:30 horas. Puntualmente se realizan itinerarios guiados para adultos por el parque del Retiro. Una vez al mes ofrece visitar otra zona verde de Madrid. Curso anual de huerto urbano para adultos.  Todas las actividades de La Cabaña son gratuitas. Se requiere reserva previa a través de correo electrónico, teléfono o de forma presencial. Zona wifi.",Consulta los siguientes enlaces,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=97521076c081c010VgnVCM1000000b205a0aRCRD,FERNÁN NUÑEZ,PASEO,V,10,MADRID,MADRID,28009,5,LOS JERONIMOS,3,RETIRO,442360,4473388,40.40912277790706,-3.6793179644920584,915 133 250,,aularetiro@gmail.com y huertoaularetiro@gmail.com,CentrosEducacionAmbiental
,,,,,,,,,,,,,,,,,,,,,,,,,915 040 131,,,
1881,wifi-madrid-1881,Biblioteca Histórica Municipal,"El origen de la Biblioteca Histórica Municipal fue la formación de una colección de libros sobre Madrid. Creada como Biblioteca Municipal en 1876 a iniciativa de Ramón de Mesonero Romanos, en 1990 recibe la denominación de Histórica y se constituye en un centro para la investigación. Su principal objetivo es la protección del legado patrimonial bibliográfico municipal y su difusión. Entre sus colecciones especiales están las siguientes: Madrid, Teatro y Música (manuscritos e impresos de los siglos XVII a XIX), Bio-bibliografía (colección Beltrán), Paremiología, Raros, Veterinaria, Guerra Civil Española (colección Tomás Borrás), Lope de Vega, Cervantes y Toros.","de lunes a viernes, de 8:30 horas a 14:30 horas. Ampliación de  de lunes a jueves, de 14:30 a 17:00 horas, a través de cita previa en el correo electrónico: bibliotecah@madrid.es   de verano (del 15 de junio al 15 de septiembre): de lunes a viernes, de 8:30 a 13:30 horas.   durante la Semana de San Isidro: de 8:30 horas a 14.00 horas. Ampliación de  de verano: de lunes a jueves, de 13:30 a 15:30 horas, a través de cita previa en el correo electrónico: bibliotecah@madrid.es Cerrada: festivos y los días 24 y 31 de diciembre.","Préstamo en sala de investigación. Consulta de la colección de referencia en la sala de investigación.  Petición anticipada de documentos. Información bibliográfica por correo postal, correo electrónico y teléfono.  Reprografía.   Conexión wifi   Catálogo en línea    Requisitos: Ser mayor de edad y tener carné de la biblioteca.  Herramientas de apoyo a la accesibilidad:  Silla de ruedas. Bucle magnético en el mostrador de información.","Metro: Ventura Rodríguez (línea 3), Plaza de España (línea 2, 3, 10), San Bernardo (línea 2 y 4) y Noviciado (línea 2, 3 y 10)",Recepción   Teléfono: 657 561 601   Negociado Administrativo / Secretaría   Teléfono: 915 885 737Correo electrónico: bibliotecah@madrid.es,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ccbc3d0b5e71c010VgnVCM1000000b205a0aRCRD,CONDE DUQUE,CALLE,V,9,MADRID,MADRID,28015,5,UNIVERSIDAD,1,CENTRO,439723,4475437,40.42737760210632,-3.7106116887809817,657 561 601,,bibliotecah@madrid.es,BibliotecasPatrimoniales
6779450,wifi-madrid-6779450,Biblioteca Musical Víctor Espinós,"Fundada en 1919 a propuesta de Víctor Espinós como Biblioteca Musical Circulante, es un centro creado para la difusión y fomento de la educación musical. Esta institución centenaria ha tenido desde su origen un marcado carácter de servicio público, combinando su especialización en música y su apertura a toda la ciudadanía. En 1932  gracias al empeño de Espinós, se inicia un servicio pionero de préstamo de instrumentos para facilitar el estudio y aprendizaje de música. A éste se añade otro servicio también muy valorado por los usuarios, las cabinas de ensayo, en las que se puede practicar individualmente o en grupo con distintos instrumentos propios o de la biblioteca. La institución también custodia y preserva interesantes colecciones, muy valoradas por investigadores nacionales e internacionales.",de atención al público: de lunes a viernes de 8:30 a 21 horas.    de cabinas de ensayo: de 8:30 a 20:30 horas.    de verano:     de atención al público: de lunes a viernes de 8:30 a 20 horas.    de cabinas de ensayo: de 8:30 a 20 horas.  Cerrado festivos y los días 24 y 31 de diciembre.,Préstamo de instrumentos (con cita previa) Consulta y reproducción de fondo antiguo  Conexión wifi. Información bibliográfica. Formación de usuarios. Reprografía Sala de consulta y lectura; cabinas de ensayo (con cita previa) Sala polivalente.   Herramientas de apoyo a la accesibilidad:   Bucle magnético en el mostrador de información y bucle magnético para actividades.,"Metro: Ventura Rodríguez (línea 3), Plaza de España (línea 2, 3, 10), San Bernardo (línea 2 y 4) y Noviciado (línea 2, 3 y 10)",Directorio:      Préstamo de Instrumentos Teléfono: 91 588 57 60  Información bibliográfica Teléfono: 91 588 57 60  Gestión económica y administrativa Teléfono: 91 588 57 53Teléfono: 91 480 13 44   Mostrador de préstamo / Cabinas de ensayo   Teléfonos: 91 588 57 60 / 91 588 57 39,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD,CONDE DUQUE,CALLE,V,9,MADRID,MADRID,28015,5,UNIVERSIDAD,1,CENTRO,439723,4475437,40.42737760210632,-3.7106116887809817,91 588 57 60,,bibliomusical@madrid.es,BibliotecasEspecializadasUniversitarias
1757,wifi-madrid-1757,Biblioteca Pública Municipal Aluche (Latina),"La Biblioteca Pública de Aluche se inauguró el 22 de junio de 1992 con la asistencia del entonces alcalde Don José María Alvarez del Manzano. Se sitúa en la primera planta del Centro Cultural Fernando de los Ríos, diseñado por el arquitecto José María Guijarro. Desde 1986 y hasta la fecha de su inauguración oficial, se encontraba situada en este mismo centro cultural y planta pero en el ala derecha del edificio y con la mitad de superficie. La ubicación de la biblioteca en el centro cultural en la década de los 80  se decidió porque éste era considerado un elemento aglutinador de la vida asociativa y cultural de los distritos.    Página en Facebook     Canal de WhatsApp",Apertura de lunes a viernes.   de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Préstamo de libros, multimedia y revistas. Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.   Herramientas de apoyo a la accesibilidad:   Silla de ruedas. Préstamo de lupas línea guía y lupas tarjeta. Préstamo en sala de telelupa. Lector de pantalla NVDA en los puestos de internet. Bucle magnético en el mostrador de información.","Metro: Laguna (línea 6),  Aluche (línea 5) Cercanías Renfe: Laguna, Aluche (línea C5)",Superficie: 712 metros cuadrados  Puestos de lectura: 130  Puestos de Internet: 18,"1,5,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f0e3d0b5e71c010VgnVCM1000000b205a0aRCRD,CAMARENA,CALLE,V,10,MADRID,MADRID,28047,4,ALUCHE,10,LATINA,435820,4471982,40.39597072367931,-3.7562716852987847,91 719 89 96,,bpaluche@madrid.es,BibliotecasPublicas
1755,wifi-madrid-1755,Biblioteca Pública Municipal Ana María Matute (Carabanchel),"La Biblioteca Pública Municipal Ana María Matute sustituyó a la antigua Biblioteca Pública Municipal de Carabanchel. La Biblioteca de Carabanchel, sita en la calle de los Hermanos del Moral 15, fue inaugurada el 12 de diciembre de 1981 por el entonces alcalde, Enrique Tierno Galván, contaba con unos 250 m&amp;sup2;. Despues de 32 años de servicio, se traslada a su actual emplazamiento bajo el nombre actual. El proyecto arquitectónico fue encargado al estudio RSP. A la inauguración, el 28 de enero de 2013, asistieron la escritora Ana María Matute y la alcaldesa Ana María Botella.    Página en Facebook     Canal de WhatsApp",Apertura de lunes a viernes.   de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Equipos de autopréstamo. Préstamo de libros, multimedia y revistas. Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.   Herramientas de apoyo a la accesibilidad:   Silla de ruedas. Préstamo de lupas línea guía y lupas tarjeta. Préstamo en sala de telelupa. Lector de pantalla NVDA en los puestos de internet. Bucle magnético en el mostrador de información y bucle magnético para actividades.",Metro: Marqués de Vadillo (línea 5),Superficie: 3.369 metros cuadrados.  Puestos de lectura: 230  Puestos de Internet: 40   Puestos de la sala polivalente: 74  Puestos de las 2 salas de trabajo en grupo: 12 personas en total.,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=628e3d0b5e71c010VgnVCM1000000b205a0aRCRD,ISAAC ALBENIZ,CALLE,V,1,MADRID,MADRID,28019,3,SAN ISIDRO,11,CARABANCHEL,438891,4472167,40.39786734087938,-3.720088245008897,91 588 08 30,,bpanammatute@madrid.es,BibliotecasPublicas
5768564,wifi-madrid-5768564,Biblioteca Pública Municipal Ángel González (Latina),"La Biblioteca Pública Municipal Ángel González se inauguró el 26 de julio de 2010, contando con la presencia de, entre otros, el entonces Alcalde Alberto Ruiz-Gallardón, la Delegada del Área de Las Artes, Alicia Moreno, y la viuda del escritor, Susana Rivera.  El edificio es obra del arquitecto Carlos de Riaño, donde predomina el hormigón y el cristal. A pesar de estar junto a la A5, el aislamiento del entorno se consigue gracias a la utilización de grandes terrazas como elemento constructivo. Tiene su fachada principal orientada hacia la autovía de Extremadura en previsión del soterramiento de la autovía.    Página en Facebook     Canal de WhatsApp","Apertura de lunes a domingo.   de lunes a viernes de 8:30 a 21 horas; sábados y domingos de 8:30 a 15 horas.   Verano (del 15 de junio al 15 de septiembre): de lunes a viernes de 8:30 a 20 horas; sábados y domingos de 8:30 a 14 horas.   Cerrado: festivos, Semana Santa (de jueves a domingo), los dos últimos fines de semana de julio y los fines de semana de agosto, el 24 y 31 de diciembre.","Equipos de autopréstamo. Préstamo de libros, multimedia y revistas. Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.   Herramientas de apoyo a la accesibilidad:   Silla de ruedas. Préstamo de lupas línea guía y lupas tarjeta. Préstamo en sala de telelupa. Lector de pantalla NVDA en los puestos de internet. Bucle magnético en el mostrador de información y bucle magnético para actividades.",Metro: Campamento (línea 5),Superficie: 2.811 metros cuadrados  Puestos de lectura: 309  Puestos de Internet: 34   Puestos de la sala polivalente: 60  Puestos de la sala de actividades: 18,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec750a2153ef9210VgnVCM2000000c205a0aRCRD,GRANJA DE TORREHERMOSA,CALLE,V,1,MADRID,MADRID,28024,4,ALUCHE,10,LATINA,434954,4472113,40.397074625115906,-3.7664885474841556,91 512 35 42,,bpangelgonzalez@madrid.es,BibliotecasPublicas
1882,wifi-madrid-1882,Biblioteca Pública Municipal Benito Pérez Galdós (Centro),"La Biblioteca Pública Conde Duque se inaugura en los años 90, cuando se traslada a este edificio la Biblioteca Municipal situada en el actual emplazamiento del Museo de Historia de Madrid, en la calle Fuencarral, separándose la Biblioteca Pública de la Biblioteca Histórica, que habían estado juntas hasta entonces. El Cuartel de Conde Duque se reformó en 2011, obra llevada a cabo por el arquitecto Carlos de Riaño, inaugurándose de nuevo la biblioteca al año siguiente, en un primer momento fusionada con la Biblioteca Musical Víctor Espinós, de la que posteriormente se separaría. Con la reforma ganó en amplitud y homogeneidad con el resto de la red, ya que anteriormente no contaba con sala infantil ni multimedia. En 2019 recibe el nombre de Benito Pérez Galdós conmemorando el centenario del fallecimiento del escritor.    Página en Facebook     Canal de WhatsApp","Apertura de lunes a domingo.    lunes a viernes de 8:30 a 21, sábado y domingo de 8:30 a 15. Verano (15 de junio a 15 de septiembre): lunes a viernes de 8:30 a 20, sábado y domingo de 8:30 a 14.    Cerrado: festivos, fines de semana de Semana Santa, 2 últimos de julio y todos los de agosto, 24 y 31 de diciembre.   Sala de Estudio: lunes a viernes de 8:30 a 21. Sábados, domingos y festivos de 8:30 a 20:30. Verano: lunes a domingo y festivos de 8:30 a 19:45. En época de exámenes amplía su  hastas las 23.","Préstamo de libros, multimedia y revistas. Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.   Herramientas de apoyo a la accesibilidad:   Silla de ruedas. Préstamo de lupas línea guía y lupas tarjeta. Préstamo en sala de telelupa. Lector de pantalla NVDA en los puestos de internet. Bucle magnético en el mostrador de información.","Metro: Ventura Rodríguez (línea 3), Plaza de España (línea 2, 3, 10), San Bernardo (línea 2 y 4) y Noviciado (línea 2, 3 y 10)",Superficie: 5.870 metros cuadrados  Puestos de lectura: 118  Puestos de Internet: 26,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD,CONDE DUQUE,CALLE,V,9,MADRID,MADRID,28015,5,UNIVERSIDAD,1,CENTRO,439723,4475438,40.42738668300474,-3.7105999955473625,91 588 59 10,,bpperezgaldos@madrid.es,BibliotecasPublicas
