nom_cabina,qualitat_aire,codi_dtes,zqa,codi_eoi,coordinates,hora_o3,qualitat_o3,valor_o3,hora_no2,qualitat_no2,valor_no2,hora_pm10,qualitat_pm10,valor_pm10,generat,dateTime
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,7h,--,--,NA,NA,NA,11/06/2018 9:00,1528700703
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",11h,--,--,11h,--,--,NA,NA,NA,11/06/2018 13:00,1528715111
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",11h,--,--,11h,--,--,NA,NA,NA,11/06/2018 14:00,1528721915
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,NA,NA,NA,NA,NA,NA,12/06/2018 0:00,1528754703
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",NA,NA,NA,NA,NA,NA,NA,NA,NA,12/06/2018 23:00,1528837503
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",13h,--,--,13h,--,--,NA,NA,NA,13/06/2018 16:00,1528898703
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",14h,--,--,14h,--,--,NA,NA,NA,13/06/2018 17:00,1528902303
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",16h,--,--,16h,--,--,NA,NA,NA,13/06/2018 18:00,1528905903
Eixample,--,IH,01,08019043,"2.1538, 41.3853",18h,--,--,18h,--,--,18h,--,--,13/06/2018 20:00,1528913103
Eixample,--,IH,01,08019043,"2.1538, 41.3853",18h,--,--,18h,--,--,18h,--,--,13/06/2018 21:00,1528916702
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,4h,--,--,NA,NA,NA,15/06/2018 7:00,1529039102
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,5h,--,--,NA,NA,NA,15/06/2018 8:00,1529042705
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,13h,--,--,NA,NA,NA,15/06/2018 16:00,1529071502
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,14h,--,--,NA,NA,NA,15/06/2018 17:00,1529075103
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,15h,--,--,NA,NA,NA,15/06/2018 18:00,1529078703
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,16h,--,--,NA,NA,NA,15/06/2018 19:00,1529082303
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",NA,NA,NA,NA,NA,NA,NA,NA,NA,16/06/2018 0:00,1529100302
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",23h,--,--,23h,--,--,NA,NA,NA,16/06/2018 2:00,1529107502
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",1h,--,--,1h,--,--,NA,NA,NA,16/06/2018 3:00,1529111103
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",20h,--,--,20h,--,--,NA,NA,NA,16/06/2018 22:00,1529179503
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",20h,--,--,20h,--,--,NA,NA,NA,16/06/2018 23:00,1529183103
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",NA,NA,NA,NA,NA,NA,NA,NA,NA,17/06/2018 0:00,1529186703
Vall Hebron,--,IN,01,08019054,"2.148, 41.4261",3h,--,--,3h,--,--,3h,--,--,17/06/2018 6:00,1529208302
Vall Hebron,--,IN,01,08019054,"2.148, 41.4261",4h,--,--,4h,--,--,4h,--,--,17/06/2018 7:00,1529211903
Eixample,--,IH,01,08019043,"2.1538, 41.3853",4h,--,--,4h,--,--,4h,--,--,18/06/2018 7:00,1529298303
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,20h,--,--,NA,NA,NA,18/06/2018 23:00,1529355905
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,NA,NA,NA,NA,NA,NA,19/06/2018 0:00,1529359503
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,23h,--,--,NA,NA,NA,19/06/2018 2:00,1529366703
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,0h,--,--,NA,NA,NA,19/06/2018 3:00,1529370305
Poblenou,--,I2,01,08019004,"2.2045, 41.4039",NA,NA,NA,1h,--,--,1h,--,--,19/06/2018 3:00,1529370305
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,18h,--,--,NA,NA,NA,19/06/2018 21:00,1529435105
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,19h,--,--,NA,NA,NA,19/06/2018 22:00,1529438703
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,20h,--,--,NA,NA,NA,19/06/2018 23:00,1529442305
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2018 0:00,1529445903
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",11h,--,--,11h,--,--,NA,NA,NA,20/06/2018 14:00,1529496303
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",12h,--,--,12h,--,--,NA,NA,NA,20/06/2018 15:00,1529499902
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2018 23:00,1529528702
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",14h,--,--,14h,--,--,NA,NA,NA,21/06/2018 16:00,1529589902
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",14h,--,--,14h,--,--,NA,NA,NA,21/06/2018 17:00,1529593502
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",15h,--,--,15h,--,--,NA,NA,NA,21/06/2018 18:00,1529597102
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,19h,--,--,NA,NA,NA,21/06/2018 21:00,1529607904
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,19h,--,--,NA,NA,NA,21/06/2018 22:00,1529611503
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,20h,--,--,NA,NA,NA,21/06/2018 23:00,1529615102
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,NA,NA,NA,NA,NA,NA,22/06/2018 0:00,1529618703
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,0h,--,--,NA,NA,NA,22/06/2018 2:00,1529625905
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,0h,--,--,NA,NA,NA,22/06/2018 3:00,1529629502
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,2h,--,--,NA,NA,NA,22/06/2018 4:00,1529633105
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,2h,--,--,NA,NA,NA,22/06/2018 5:00,1529636702
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,4h,--,--,NA,NA,NA,22/06/2018 6:00,1529640305
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,4h,--,--,NA,NA,NA,22/06/2018 7:00,1529643902
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,6h,--,--,NA,NA,NA,22/06/2018 8:00,1529647505
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,6h,--,--,NA,NA,NA,22/06/2018 9:00,1529651103
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,7h,--,--,NA,NA,NA,22/06/2018 10:00,1529654702
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,8h,--,--,NA,NA,NA,22/06/2018 11:00,1529658302
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,9h,--,--,NA,NA,NA,22/06/2018 12:00,1529661903
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,10h,--,--,NA,NA,NA,22/06/2018 13:00,1529665502
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,11h,--,--,NA,NA,NA,22/06/2018 14:00,1529669102
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,13h,--,--,NA,NA,NA,22/06/2018 15:00,1529672703
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,NA,NA,NA,NA,NA,NA,22/06/2018 23:00,1529701505
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",NA,NA,NA,NA,NA,NA,NA,NA,NA,22/06/2018 23:00,1529701505
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,14h,--,--,NA,NA,NA,23/06/2018 17:00,1529766302
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,15h,--,--,NA,NA,NA,23/06/2018 18:00,1529769902
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,16h,--,--,NA,NA,NA,23/06/2018 19:00,1529773503
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,17h,--,--,NA,NA,NA,23/06/2018 20:00,1529777102
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,18h,--,--,NA,NA,NA,23/06/2018 21:00,1529780703
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",5h,--,--,5h,--,--,NA,NA,NA,24/06/2018 8:00,1529820302
Vall Hebron,--,IN,01,08019054,"2.148, 41.4261",7h,--,--,7h,--,--,7h,--,--,24/06/2018 10:00,1529827503
Vall Hebron,--,IN,01,08019054,"2.148, 41.4261",8h,--,--,8h,--,--,8h,--,--,24/06/2018 11:00,1529831103
Vall Hebron,--,IN,01,08019054,"2.148, 41.4261",9h,--,--,9h,--,--,9h,--,--,24/06/2018 12:00,1529834702
Vall Hebron,--,IN,01,08019054,"2.148, 41.4261",10h,--,--,10h,--,--,10h,--,--,24/06/2018 13:00,1529838303
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,16h,--,--,NA,NA,NA,25/06/2018 19:00,1529946302
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,17h,--,--,NA,NA,NA,25/06/2018 20:00,1529949902
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,19h,--,--,NA,NA,NA,25/06/2018 21:00,1529953505
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,NA,NA,NA,NA,NA,NA,25/06/2018 23:00,1529960705
Ciutadella,--,IL,01,08019050,"2.1874, 41.3864",NA,NA,NA,NA,NA,NA,NA,NA,NA,25/06/2018 23:00,1529960705
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,1h,--,--,NA,NA,NA,26/06/2018 3:00,1529975105
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,1h,--,--,NA,NA,NA,26/06/2018 4:00,1529978703
Sants,--,ID,01,08019042,"2.1331, 41.3788",NA,NA,NA,3h,--,--,NA,NA,NA,26/06/2018 5:00,1529982305
