nom_cabina,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Eixample,Buena,IH,01,08019043,2.1538,41.3853,8h,Buena,37,8h,Bona,62,9h,Buena,26,11/06/2018 9:00,1528700703
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,8h,Buena,51,8h,Bona,44,9h,Buena,23,11/06/2018 9:00,1528700703
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,27,8h,Bona,40,,,,11/06/2018 9:00,1528700703
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,22,8h,Bona,54,9h,Buena,18,11/06/2018 9:00,1528700703
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,22,8h,Bona,61,9h,Buena,20,11/06/2018 9:00,1528700703
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,8h,Bona,65,9h,Buena,21,11/06/2018 9:00,1528700703
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,10h,Bona,34,,,,11/06/2018 10:00,1528704305
Eixample,Buena,IH,01,08019043,2.1538,41.3853,10h,Buena,36,10h,Bona,60,10h,Buena,27,11/06/2018 10:00,1528704305
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,10h,Buena,50,10h,Bona,38,10h,Buena,23,11/06/2018 10:00,1528704305
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,10h,Buena,54,10h,Bona,38,,,,11/06/2018 10:00,1528704305
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,10h,Buena,54,10h,Bona,24,10h,Buena,19,11/06/2018 10:00,1528704305
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,10h,Buena,55,10h,Bona,27,10h,Buena,21,11/06/2018 10:00,1528704305
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,10h,Bona,47,10h,Buena,22,11/06/2018 10:00,1528704305
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,11h,Bona,25,,,,11/06/2018 11:00,1528707902
Eixample,Buena,IH,01,08019043,2.1538,41.3853,10h,Buena,36,10h,Bona,60,11h,Buena,27,11/06/2018 11:00,1528707902
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,10h,Buena,50,10h,Bona,38,11h,Buena,23,11/06/2018 11:00,1528707902
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,10h,Buena,54,10h,Bona,38,,,,11/06/2018 11:00,1528707902
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,10h,Buena,54,10h,Bona,24,11h,Buena,20,11/06/2018 11:00,1528707902
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,10h,Buena,55,10h,Bona,27,11h,Buena,21,11/06/2018 11:00,1528707902
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,10h,Bona,47,11h,Buena,22,11/06/2018 11:00,1528707902
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,11h,Bona,25,,,,11/06/2018 12:00,1528711504
Eixample,Buena,IH,01,08019043,2.1538,41.3853,10h,Buena,36,10h,Bona,60,12h,Buena,26,11/06/2018 12:00,1528711504
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,10h,Buena,50,10h,Bona,38,12h,Buena,23,11/06/2018 12:00,1528711504
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,10h,Buena,54,10h,Bona,38,,,,11/06/2018 12:00,1528711504
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,11h,Buena,64,11h,Bona,15,12h,Buena,20,11/06/2018 12:00,1528711504
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,11h,Buena,59,11h,Bona,24,12h,Buena,21,11/06/2018 12:00,1528711504
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,11h,Bona,32,12h,Buena,22,11/06/2018 12:00,1528711504
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,12h,Bona,15,,,,11/06/2018 13:00,1528715111
Eixample,Buena,IH,01,08019043,2.1538,41.3853,11h,,,11h,,,13h,Buena,26,11/06/2018 13:00,1528715111
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,12h,Buena,59,12h,Bona,22,13h,Buena,23,11/06/2018 13:00,1528715111
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,12h,Buena,69,12h,Bona,14,13h,Buena,20,11/06/2018 13:00,1528715111
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,12h,Buena,69,12h,Bona,12,13h,Buena,21,11/06/2018 13:00,1528715111
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,12h,Bona,29,13h,Buena,23,11/06/2018 13:00,1528715111
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,13h,Bona,12,,,,11/06/2018 14:00,1528721915
Eixample,Buena,IH,01,08019043,2.1538,41.3853,11h,,,11h,,,13h,Buena,26,11/06/2018 14:00,1528721915
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,13h,Buena,68,13h,Bona,22,13h,Buena,22,11/06/2018 14:00,1528721915
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,13h,Buena,74,13h,Bona,11,13h,Buena,20,11/06/2018 14:00,1528721915
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,13h,Buena,74,13h,Bona,9,13h,Buena,21,11/06/2018 14:00,1528721915
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,13h,Bona,28,13h,Buena,23,11/06/2018 14:00,1528721915
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,15h,Bona,13,,,,11/06/2018 15:00,1528722668
Eixample,Buena,IH,01,08019043,2.1538,41.3853,13h,,,13h,,,15h,Buena,26,11/06/2018 15:00,1528722668
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,15h,Buena,80,15h,Bona,22,15h,Buena,21,11/06/2018 15:00,1528722668
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,15h,Buena,63,15h,Bona,48,,,,11/06/2018 15:00,1528722668
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,15h,Buena,95,15h,Bona,14,15h,Buena,20,11/06/2018 15:00,1528722668
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,14h,Buena,87,14h,Bona,15,15h,Buena,21,11/06/2018 15:00,1528722668
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,14h,Bona,61,15h,Buena,24,11/06/2018 15:00,1528722668
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,15h,Bona,13,,,,11/06/2018 16:00,1528725902
Eixample,Buena,IH,01,08019043,2.1538,41.3853,13h,,,13h,,,15h,Buena,26,11/06/2018 16:00,1528725902
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,15h,Buena,80,15h,Bona,22,15h,Buena,21,11/06/2018 16:00,1528725902
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,15h,Buena,63,15h,Bona,48,,,,11/06/2018 16:00,1528725902
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,15h,Buena,95,15h,Bona,14,15h,Buena,20,11/06/2018 16:00,1528725902
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,14h,Buena,87,14h,Bona,15,15h,Buena,21,11/06/2018 16:00,1528725902
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,14h,Bona,61,15h,Buena,24,11/06/2018 16:00,1528725902
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,15h,Bona,13,,,,11/06/2018 17:00,1528729502
Eixample,Buena,IH,01,08019043,2.1538,41.3853,15h,,,15h,,,16h,Buena,25,11/06/2018 17:00,1528729502
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,15h,Buena,80,15h,Bona,22,17h,Buena,21,11/06/2018 17:00,1528729502
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,15h,Buena,63,15h,Bona,48,,,,11/06/2018 17:00,1528729502
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,15h,Buena,95,15h,Bona,14,17h,Buena,20,11/06/2018 17:00,1528729502
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,17h,Buena,86,17h,Bona,13,17h,Buena,21,11/06/2018 17:00,1528729502
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,17h,Bona,40,17h,Buena,25,11/06/2018 17:00,1528729502
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,17h,Bona,10,,,,11/06/2018 18:00,1528733103
Eixample,Buena,IH,01,08019043,2.1538,41.3853,17h,Buena,58,17h,Bona,58,17h,Buena,27,11/06/2018 18:00,1528733103
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,17h,Buena,71,17h,Bona,49,17h,Buena,22,11/06/2018 18:00,1528733103
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,17h,Buena,58,17h,Bona,40,,,,11/06/2018 18:00,1528733103
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,17h,Buena,89,17h,Bona,11,17h,Buena,20,11/06/2018 18:00,1528733103
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,17h,Buena,86,17h,Bona,13,17h,Buena,21,11/06/2018 18:00,1528733103
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,17h,Bona,40,17h,Buena,25,11/06/2018 18:00,1528733103
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,18h,Bona,10,,,,11/06/2018 19:00,1528736702
Eixample,Buena,IH,01,08019043,2.1538,41.3853,18h,Buena,54,18h,Bona,64,18h,Buena,27,11/06/2018 19:00,1528736702
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,18h,Buena,68,18h,Bona,55,18h,Buena,22,11/06/2018 19:00,1528736702
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,18h,Buena,67,18h,Bona,27,,,,11/06/2018 19:00,1528736702
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,18h,Buena,85,18h,Bona,14,18h,Buena,20,11/06/2018 19:00,1528736702
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,18h,Buena,82,18h,Bona,16,18h,Buena,21,11/06/2018 19:00,1528736702
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,18h,Bona,39,18h,Buena,24,11/06/2018 19:00,1528736702
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,19h,Bona,14,,,,11/06/2018 20:00,1528740302
Eixample,Buena,IH,01,08019043,2.1538,41.3853,19h,Buena,64,19h,Bona,50,19h,Buena,28,11/06/2018 20:00,1528740302
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,19h,Buena,64,19h,Bona,67,19h,Buena,22,11/06/2018 20:00,1528740302
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,19h,Buena,75,19h,Bona,19,,,,11/06/2018 20:00,1528740302
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,19h,Buena,82,19h,Bona,17,19h,Buena,20,11/06/2018 20:00,1528740302
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,19h,Buena,78,19h,Bona,20,19h,Buena,21,11/06/2018 20:00,1528740302
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,19h,Bona,39,19h,Buena,24,11/06/2018 20:00,1528740302
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,20h,Bona,15,,,,11/06/2018 21:00,1528743905
Eixample,Buena,IH,01,08019043,2.1538,41.3853,20h,Buena,60,20h,Bona,61,20h,Buena,29,11/06/2018 21:00,1528743905
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,20h,Buena,59,20h,Bona,86,20h,Buena,22,11/06/2018 21:00,1528743905
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,20h,Buena,80,20h,Bona,20,,,,11/06/2018 21:00,1528743905
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,20h,Buena,88,20h,Bona,14,20h,Buena,20,11/06/2018 21:00,1528743905
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,20h,Buena,75,20h,Bona,29,20h,Buena,21,11/06/2018 21:00,1528743905
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,20h,Bona,41,20h,Buena,24,11/06/2018 21:00,1528743905
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,20h,Bona,15,,,,11/06/2018 22:00,1528747502
Eixample,Buena,IH,01,08019043,2.1538,41.3853,21h,Buena,53,21h,Bona,63,21h,Buena,29,11/06/2018 22:00,1528747502
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,21h,Buena,64,21h,Bona,63,21h,Buena,22,11/06/2018 22:00,1528747502
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,21h,Buena,75,21h,Bona,23,,,,11/06/2018 22:00,1528747502
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,21h,Buena,86,21h,Bona,16,21h,Buena,20,11/06/2018 22:00,1528747502
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,21h,Buena,74,21h,Bona,30,21h,Buena,21,11/06/2018 22:00,1528747502
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,21h,Bona,33,21h,Buena,24,11/06/2018 22:00,1528747502
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,20h,Bona,15,,,,11/06/2018 23:00,1528751105
Eixample,Buena,IH,01,08019043,2.1538,41.3853,22h,Buena,51,22h,Bona,58,22h,Buena,29,11/06/2018 23:00,1528751105
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,22h,Buena,64,22h,Bona,60,22h,Buena,22,11/06/2018 23:00,1528751105
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,22h,Buena,65,22h,Bona,31,,,,11/06/2018 23:00,1528751105
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,22h,Buena,85,22h,Bona,13,22h,Buena,20,11/06/2018 23:00,1528751105
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,22h,Buena,61,22h,Bona,39,22h,Buena,21,11/06/2018 23:00,1528751105
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,22h,Bona,40,22h,Buena,24,11/06/2018 23:00,1528751105
Eixample,Buena,IH,01,08019043,2.1538,41.3853,23h,Buena,59,23h,Bona,42,23h,Buena,29,12/06/2018 0:00,1528754703
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,23h,Buena,59,23h,Bona,65,23h,Buena,22,12/06/2018 0:00,1528754703
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,23h,Buena,61,23h,Bona,33,,,,12/06/2018 0:00,1528754703
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,23h,Buena,80,23h,Bona,16,23h,Buena,20,12/06/2018 0:00,1528754703
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,0h,Buena,69,0h,Bona,25,0h,Buena,20,12/06/2018 0:00,1528754703
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,0h,Bona,29,0h,Buena,24,12/06/2018 0:00,1528754703
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,0h,Bona,23,,,,12/06/2018 1:00,1528758306
Eixample,Buena,IH,01,08019043,2.1538,41.3853,0h,Buena,60,0h,Bona,41,0h,Buena,30,12/06/2018 1:00,1528758306
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,0h,Buena,66,0h,Bona,41,0h,Buena,22,12/06/2018 1:00,1528758306
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,0h,Buena,72,0h,Bona,11,,,,12/06/2018 1:00,1528758306
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,0h,Buena,65,0h,Bona,24,0h,Buena,20,12/06/2018 1:00,1528758306
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,0h,Buena,63,0h,Bona,33,0h,Buena,21,12/06/2018 1:00,1528758306
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,0h,Bona,20,0h,Buena,24,12/06/2018 1:00,1528758306
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,1h,Bona,18,,,,12/06/2018 2:00,1528761903
Eixample,Buena,IH,01,08019043,2.1538,41.3853,1h,Buena,73,1h,Bona,24,1h,Buena,30,12/06/2018 2:00,1528761903
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,1h,Buena,78,1h,Bona,18,1h,Buena,22,12/06/2018 2:00,1528761903
