district,subcategory,section,file_number,property_type,location,land_use,area_m2
Centro,zonas verdes,parques y jardines,300.0,urbana,CALLE DE BAILEN NUM 15,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,5025.42
Centro,zonas verdes,parques y jardines,300.001,urbana,CALLE DE BAILEN NUM 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADAUNA CASETA DE GUARDAS.,26814.0
Centro,zonas verdes,parques y jardines,300.002,urbana,"CALLE DEL MESON DE PAREDES, NUM. 37 C/V C/ DE AMPARO NUM 26",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2979.2
Centro,zonas verdes,parques y jardines,300.003,urbana,CALLE MESON DE PAREDES NUM 68,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1637.34
Centro,zonas verdes,parques y jardines,300.004,urbana,CALLE DE SEGOVIA NUM 12,DOTACIONAL SERVCIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE PARA JARDIN PUBLICO. PROYECTODEL BARRIO HISTORICO.,172.9
Centro,zonas verdes,parques y jardines,300.005,urbana,"CALLE DE SEGOVIA, Nº 21-23 Y C/ DE LA MORERÍA, Nº 28",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADO TOTALMENTE POR LOS ACCESOS AL VIADUCTO.,5462.95
Centro,zonas verdes,parques y jardines,300.006,urbana,"CALLE DE SEGOVIA, Nº27 C/V CUESTA DE LOS CIEGOS",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADA PARA ZONA VERDE. ACCESOS AL VIADUCTO.,1001.53
Centro,zonas verdes,parques y jardines,300.007,urbana,CALLE DE SEGOVIA C/V CUESTA DE LA VEGA,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ANTIGUA ALAMEDA DE LA VIRGEN DEL PUERTO YJARDINES DE LA CUESTA DE LA VEGA. DENTRO DE SU PERIMETRO SE ENCUENTRAN UBICADOS UN EVACUATORIO, UNCANTON DE LIMPIEZAS, UNA CASETA DE PERSONAL DE JARDINERÍA Y UNA PISTA POLIVALENTE.",106811.18
Centro,zonas verdes,parques y jardines,300.008,urbana,"CALLE DE SEGOVIA, Nº 31 Y 37 C/V CUESTA DE JAVALQUINTO",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ACCESOS AL VIADUCTO.,1999.63
Centro,zonas verdes,parques y jardines,300.009,urbana,CALLE DE SEGOVIA NUM 35,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. AFECTADA PARA ZONA VERDE. ACCESOS AL VIADUCTO.,1374.79
