park_name,species_name,units_2024,Column,Column2,Column3,Column4
Jardines Del Buen Retiro,Aesculus hippocastanum,5715,,,,
Jardines Del Buen Retiro,Platanus x hispanica,971,,,,
Jardines Del Buen Retiro,Cercis siliquastrum,692,,,,
Jardines Del Buen Retiro,Celtis australis,588,,,,
Jardines Del Buen Retiro,Cupressus sempervirens,537,,,,
Jardines Del Buen Retiro,Gleditsia triacanthos,508,,,,
Jardines Del Buen Retiro,Ulmus minor,429,,,,
Jardines Del Buen Retiro,Styphnolobium japonicum,392,,,,
Jardines Del Buen Retiro,Pinus pinea,346,,,,
Jardines Del Buen Retiro,Ulmus pumila,328,,,,
Jardines Del Buen Retiro,Acer campestre,321,,,,
Jardines Del Buen Retiro,Otros,5498,,,,
Parque Del Oeste - Templo De Debod,Pinus pinea,938,,,,
Parque Del Oeste - Templo De Debod,Styphnolobium japonicum,797,,,,
Parque Del Oeste - Templo De Debod,Platanus x hispanica,556,,,,
Parque Del Oeste - Templo De Debod,Ligustrum japonicum,395,,,,
Parque Del Oeste - Templo De Debod,Populus alba 'Bolleana',390,,,,
Parque Del Oeste - Templo De Debod,Cedrus deodara,346,,,,
Parque Del Oeste - Templo De Debod,Celtis australis,296,,,,
Parque Del Oeste - Templo De Debod,Prunus cerasifera subsp. pissardii,294,,,,
Parque Del Oeste - Templo De Debod,Cedrus Atlantica,240,,,,
Parque Del Oeste - Templo De Debod,Populus Nigra,225,,,,
Parque Del Oeste - Templo De Debod,Otros,2553,,,,
Jardín De La Quinta De Los Molinos,Prunus Dulcis Marcona,1079,,,,
Jardín De La Quinta De Los Molinos,Pinus halepensis,1056,,,,
Jardín De La Quinta De Los Molinos,Cupressus sempervirens,606,,,,
"Jardín De La Quinta De Los Molinos,""Prunus Dulcis """"desmayo Largueta"""""",389,,,,"
Jardín De La Quinta De Los Molinos,Pinus pinea,334,,,,
Jardín De La Quinta De Los Molinos,Eucalyptus Sp,302,,,,
Jardín De La Quinta De Los Molinos,Cedrus deodara,243,,,,
Jardín De La Quinta De Los Molinos,Platanus x hispanica,239,,,,
Jardín De La Quinta De Los Molinos,Prunus dulcis,226,,,,
Jardín De La Quinta De Los Molinos,Ulmus Sp,221,,,,
Jardín De La Quinta De Los Molinos,Gleditsia triacanthos,207,,,,
Jardín De La Quinta De Los Molinos,Otros,1766,,,,
Jardín De La Quinta De La Fuente Del Berro,Ligustrum lucidum,294,,,,
Jardín De La Quinta De La Fuente Del Berro,Cupressus sempervirens,132,,,,
Jardín De La Quinta De La Fuente Del Berro,Aesculus hippocastanum,77,,,,
Jardín De La Quinta De La Fuente Del Berro,Prunus cerasifera subsp. pissardii,62,,,,
Jardín De La Quinta De La Fuente Del Berro,Cedrus deodara,54,,,,
Jardín De La Quinta De La Fuente Del Berro,Acacia dealbata,47,,,,
Jardín De La Quinta De La Fuente Del Berro,Populus alba 'Bolleana',29,,,,
Jardín De La Quinta De La Fuente Del Berro,Trachycarpus fortunei,28,,,,
Jardín De La Quinta De La Fuente Del Berro,Platanus x hispanica,26,,,,
Jardín De La Quinta De La Fuente Del Berro,Celtis australis,25,,,,
Jardín De La Quinta De La Fuente Del Berro,Otros,330,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Cercis siliquastrum,760,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Cupressus sempervirens,349,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Gleditsia triacanthos,208,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Pinus pinea,189,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Fraxinus angustifolia,179,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Platanus x hispanica,139,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Quercus robur,135,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Acer campestre,123,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Robinia pseudoacacia,99,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Aesculus hippocastanum,77,,,,
Jardín De 'el Capricho' De La Alameda De Osuna,Otros,1232,,,,
Jardines De Sabatini,Cupressus sempervirens,85,,,,
Jardines De Sabatini,Pinus pinea,50,,,,
Jardines De Sabatini,Acer negundo,26,,,,
Jardines De Sabatini,Cedrus deodara,21,,,,
Jardines De Sabatini,Magnolia grandiflora,16,,,,
Jardines De Sabatini,Abies nordmanniana,8,,,,
Jardines De Sabatini,Thuja occidentalis,5,,,,
Jardines De Sabatini,Acer pseudoplatanus,3,,,,
Jardines De Sabatini,Cercis siliquastrum,1,,,,
Jardines De Sabatini,Populus alba 'Bolleana',1,,,,
Jardines De Sabatini,Ulmus minor,1,,,,
Jardines Plaza De Oriente - Jardín Del Cabo Noval-jardín De Lepanto,Platanus x hispanica,126,,,,
Jardines Plaza De Oriente - Jardín Del Cabo Noval-jardín De Lepanto,Ligustrum japonicum,38,,,,
