NOMBRE PARQUE;ESPECIE;UNIDADES 2024;;;;
JARDINES DEL BUEN RETIRO;Aesculus hippocastanum;5715;;;;
JARDINES DEL BUEN RETIRO;Platanus x hispanica;971;;;;
JARDINES DEL BUEN RETIRO;Cercis siliquastrum;692;;;;
JARDINES DEL BUEN RETIRO;Celtis australis;588;;;;
JARDINES DEL BUEN RETIRO;Cupressus sempervirens;537;;;;
JARDINES DEL BUEN RETIRO;Gleditsia triacanthos;508;;;;
JARDINES DEL BUEN RETIRO;Ulmus minor;429;;;;
JARDINES DEL BUEN RETIRO;Styphnolobium japonicum;392;;;;
JARDINES DEL BUEN RETIRO;Pinus pinea;346;;;;
JARDINES DEL BUEN RETIRO;Ulmus pumila;328;;;;
JARDINES DEL BUEN RETIRO;Acer campestre;321;;;;
JARDINES DEL BUEN RETIRO;Otros;5498;;;;
;;;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Pinus pinea;938;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Styphnolobium japonicum;797;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Platanus x hispanica;556;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Ligustrum japonicum;395;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Populus alba 'Bolleana';390;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Cedrus deodara;346;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Celtis australis;296;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Prunus cerasifera  subsp. pissardii;294;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Cedrus atlantica;240;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Populus nigra;225;;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Otros;2553;;;;
;;;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Prunus dulcis Marcona;1079;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Pinus halepensis;1056;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Cupressus sempervirens;606;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;"Prunus dulcis ""Desmayo Largueta""";389;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Pinus pinea;334;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Eucalyptus sp;302;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Cedrus deodara;243;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Platanus x hispanica;239;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Prunus dulcis;226;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Ulmus sp;221;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Gleditsia triacanthos;207;;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Otros;1766;;;;
;;;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Ligustrum lucidum;294;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Cupressus sempervirens;132;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Aesculus hippocastanum;77;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Prunus cerasifera  subsp. pissardii;62;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Cedrus deodara;54;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Acacia dealbata;47;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Populus alba 'Bolleana';29;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Trachycarpus fortunei;28;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Platanus x hispanica;26;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Celtis australis;25;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Otros;330;;;;
;;;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Cercis siliquastrum;760;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Cupressus sempervirens;349;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Gleditsia triacanthos;208;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Pinus pinea;189;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Fraxinus angustifolia;179;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Platanus x hispanica;139;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Quercus robur;135;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Acer campestre;123;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Robinia pseudoacacia;99;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Aesculus hippocastanum;77;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Otros;1232;;;;
;;;;;;
JARDINES DE SABATINI;Cupressus sempervirens;85;;;;
JARDINES DE SABATINI;Pinus pinea;50;;;;
JARDINES DE SABATINI;Acer negundo;26;;;;
JARDINES DE SABATINI;Cedrus deodara;21;;;;
JARDINES DE SABATINI;Magnolia grandiflora;16;;;;
JARDINES DE SABATINI;Abies nordmanniana;8;;;;
JARDINES DE SABATINI;Thuja occidentalis;5;;;;
JARDINES DE SABATINI;Acer pseudoplatanus;3;;;;
JARDINES DE SABATINI;Cercis siliquastrum;1;;;;
JARDINES DE SABATINI;Populus alba 'Bolleana';1;;;;
JARDINES DE SABATINI;Ulmus minor;1;;;;
;;;;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Platanus x hispanica;126;;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Ligustrum japonicum;38;;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus sempervirens;31;;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Taxus baccata;28;;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Magnolia grandiflora;9;;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cedrus deodara;8;;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus macrocarpa;6;;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Pinus halepensis;1;;;;
;;;;;;
PARQUE DE LA DEHESA DE LA VILLA;Pinus pinea;4769;;;;
PARQUE DE LA DEHESA DE LA VILLA;Pinus halepensis;691;;;;
PARQUE DE LA DEHESA DE LA VILLA;Prunus dulcis;930;;;;
PARQUE DE LA DEHESA DE LA VILLA;Ulmus pumila;362;;;;
PARQUE DE LA DEHESA DE LA VILLA;Quercus ilex;932;;;;
PARQUE DE LA DEHESA DE LA VILLA;Ailanthus altissima;276;;;;
PARQUE DE LA DEHESA DE LA VILLA;Fraxinus angustifolia;207;;;;
PARQUE DE LA DEHESA DE LA VILLA;Platanus x hispanica;139;;;;
PARQUE DE LA DEHESA DE LA VILLA;Gleditsia triacanthos;183;;;;
PARQUE DE LA DEHESA DE LA VILLA;Celtis australis;131;;;;
PARQUE DE LA DEHESA DE LA VILLA;Otros;2477;;;;
;;;;;;
PARQUE MADRID RÍO;Pinus pinea;2922;;;;
PARQUE MADRID RÍO;Pinus halepensis;2358;;;;
PARQUE MADRID RÍO;Platanus x hispanica;1508;;;;
PARQUE MADRID RÍO;Acer x freemanii;596;;;;
PARQUE MADRID RÍO;Melia azedarach;511;;;;
PARQUE MADRID RÍO;Populus nigra;496;;;;
PARQUE MADRID RÍO;Fraxinus angustifolia;476;;;;
PARQUE MADRID RÍO;Aesculus hippocastanum;433;;;;
PARQUE MADRID RÍO;Celtis australis;380;;;;
PARQUE MADRID RÍO;Ginkgo biloba;358;;;;
PARQUE MADRID RIO;Otros;4071;;;;
;;;;;;
PARQUE LINEAL DEL MANZANARES;Populus nigra;2526;;;;
PARQUE LINEAL DEL MANZANARES;Pinus pinea;2457;;;;
PARQUE LINEAL DEL MANZANARES;Celtis australis;2247;;;;
PARQUE LINEAL DEL MANZANARES;Fraxinus angustifolia;914;;;;
PARQUE LINEAL DEL MANZANARES;Platanus x hispanica;659;;;;
PARQUE LINEAL DEL MANZANARES;Olea europaea;506;;;;
PARQUE LINEAL DEL MANZANARES;Ulmus sp;498;;;;
PARQUE LINEAL DEL MANZANARES;Cupressus sempervirens;405;;;;
PARQUE LINEAL DEL MANZANARES;Pinus halepensis;277;;;;
PARQUE LINEAL DEL MANZANARES;Gleditsia triacanthos;263;;;;
PARQUE LINEAL DEL MANZANARES;Otros;2805;;;;
;;;;;;
PARQUE JUAN PABLO II;Pinus pinea;142;;;;
PARQUE JUAN PABLO II;Aesculus hippocastanum;134;;;;
PARQUE JUAN PABLO II;Celtis australis;126;;;;
PARQUE JUAN PABLO II;Morus alba;125;;;;
PARQUE JUAN PABLO II;Gleditsia triacanthos;88;;;;
PARQUE JUAN PABLO II;Prunus dulcis;78;;;;
PARQUE JUAN PABLO II;Cupressus sempervirens;55;;;;
PARQUE JUAN PABLO II;Liquidambar styraciflua;52;;;;
PARQUE JUAN PABLO II;Lagerstroemia indica;47;;;;
PARQUE JUAN PABLO II;Punica granatum;47;;;;
PARQUE JUAN PABLO II;Otros;688;;;;
;;;;;;
PARQUE JUAN CARLOS I;Olea europaea;2430;;;;
PARQUE JUAN CARLOS I;Pinus pinea;1074;;;;
PARQUE JUAN CARLOS I;Catalpa bignonioides;882;;;;
PARQUE JUAN CARLOS I;Styphnolobium japonicum;615;;;;
PARQUE JUAN CARLOS I;Cupressus sempervirens;551;;;;
PARQUE JUAN CARLOS I;Fraxinus excelsior;512;;;;
PARQUE JUAN CARLOS I;Morus alba;491;;;;
PARQUE JUAN CARLOS I;Platanus x hispanica;476;;;;
PARQUE JUAN CARLOS I;Gleditsia triacanthos;424;;;;
PARQUE JUAN CARLOS I;Populus alba;356;;;;
PARQUE JUAN CARLOS I;Otros;6105;;;;
;;;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Pinus pinea;453;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Celtis australis;337;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Prunus cerasifera  subsp. pissardii;156;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Melia azedarach;111;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Pinus nigra;89;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Koelreuteria paniculata;77;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;x Cupressocyparis x leylandii;72;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Pyrus calleryana 'Chanticleer';72;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Liquidambar styraciflua;55;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Olea europaea;49;;;;
ZONAS VERDES DISTRITO C - LAS TABLAS;Otros;349;;;;
;;;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Celtis australis;882;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Morus alba 'Fruitless';412;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Koelreuteria paniculata;347;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Fraxinus angustifolia;287;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Prunus dulcis;258;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Olea europaea;163;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Pinus pinea;126;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Cercis siliquastrum;119;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Aesculus hippocastanum;112;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Pyrus calleryana 'Chanticleer';112;;;;
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Otros;1973;;;;
;;;;;;
PARQUE PRINCESA LEONOR;Celtis australis;327;;;;
PARQUE PRINCESA LEONOR;Prunus dulcis;244;;;;
PARQUE PRINCESA LEONOR;Acer campestre;163;;;;
PARQUE PRINCESA LEONOR;Olea europaea;128;;;;
PARQUE PRINCESA LEONOR;Malus 'Evereste';120;;;;
PARQUE PRINCESA LEONOR;Melia azedarach;101;;;;
PARQUE PRINCESA LEONOR;Ziziphus jujuba;100;;;;
PARQUE PRINCESA LEONOR;Populus nigra;67;;;;
PARQUE PRINCESA LEONOR;Koelreuteria paniculata;64;;;;
PARQUE PRINCESA LEONOR;Tilia cordata 'Greenspire';62;;;;
PARQUE PRINCESA LEONOR;Otros;579;;;;
;;;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Pinus halepensis;2861;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Pinus pinea;2854;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Celtis australis;1260;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Quercus ilex;842;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Platanus orientalis;634;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Cedrus deodara;620;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Ulmus pumila;389;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Quercus robur;306;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Melia azedarach;287;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Cupressus sempervirens;253;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Otros;3357;;;;
;;;;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Cedrus deodara;53;;;;
"ROSALEDA DE MADRID ""RAMON ORTIZ""";Acer negundo;17;;;;
