ID,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,COORD_GIS_X,COORD_GIS_Y,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX
101532,154,Concepción,15,Ciudad Lineal,444803.81,4476412.02,40.43652188,-3.65079129,CALLE,JOSE DEL HIERRO,3,28027,JARDIN
109146,163,Canillas,16,Hortaleza,445489.807,4479011.269,40.45998256,-3.64292662,CALLE,ANDORRA,30,28043,FRENTE FACHADA
109150,161,Palomas,16,Hortaleza,447951.56,4478524.37,40.45575414,-3.61385289,CALLE,GUADALAJARA,46,28042,PARCELA
109152,161,Palomas,16,Hortaleza,447949.67,4478521.68,40.45572978,-3.61387496,CALLE,GUADALAJARA,46,28042,PARCELA
109155,161,Palomas,16,Hortaleza,447953.73,4478520.55,40.45571986,-3.61382699,CALLE,GUADALAJARA,46,28042,PARCELA
109157,161,Palomas,16,Hortaleza,447953.46,4478523.84,40.45574948,-3.61383044,CALLE,GUADALAJARA,46,28042,PARCELA
109159,161,Palomas,16,Hortaleza,448329.66,4478288.9,40.45365648,-3.6093747,CALLE,AÑIL,3,28042,GARAJE
109161,164,Pinar del Rey,16,Hortaleza,445657.3,4480610.03,40.47439598,-3.64108815,CALLE,MAR AMARILLO,12,28033,FRENTE FACHADA
109163,164,Pinar del Rey,16,Hortaleza,446632.67,4479995.94,40.46892718,-3.62953058,CALLE,ACONCAGUA,4,28043,PORTAL
109165,164,Pinar del Rey,16,Hortaleza,446632.31,4479993.16,40.46890212,-3.6295346,CALLE,ACONCAGUA,4,28043,PORTAL
109174,164,Pinar del Rey,16,Hortaleza,444913.13,4481300.61,40.48056803,-3.64992668,CARRETERA,ESTACION DE HORTALEZA,18,28033,JARDIN
109176,164,Pinar del Rey,16,Hortaleza,445773.06,4480916.49,40.47716429,-3.6397488,CALLE,SANTA VIRGILIA,19,28033,GARAJE
101533,154,Concepción,15,Ciudad Lineal,444824.41,4476399.1,40.43640686,-3.6505473,CALLE,JOSE DEL HIERRO,3,28027,JARDIN
109148,162,La Piovera,16,Hortaleza,447226.377,4479039.789,40.46035158,-3.62244798,CALLE,FLORENCIO CASTILLO,29,28043,JARDIN
109151,161,Palomas,16,Hortaleza,447950.2,4478523.55,40.45574666,-3.61386886,CALLE,GUADALAJARA,46,28042,PARCELA
109154,161,Palomas,16,Hortaleza,447952.17,4478519.7,40.4557121,-3.61384531,CALLE,GUADALAJARA,46,28042,PARCELA
109156,161,Palomas,16,Hortaleza,447954.27,4478522.24,40.45573512,-3.61382076,CALLE,GUADALAJARA,46,28042,PARCELA
109158,161,Palomas,16,Hortaleza,448327.61,4478290.56,40.45367131,-3.60939901,CALLE,AÑIL,3,28042,GARAJE
109160,161,Palomas,16,Hortaleza,448331.381,4478291.047,40.45367593,-3.60935458,CALLE,AÑIL,3,28042,GARAJE
109162,164,Pinar del Rey,16,Hortaleza,446633.86,4479994.91,40.46891798,-3.62951646,CALLE,ACONCAGUA,4,28043,PORTAL
109164,164,Pinar del Rey,16,Hortaleza,446631.12,4479994.47,40.46891384,-3.62954874,CALLE,ACONCAGUA,4,28043,PORTAL
109170,164,Pinar del Rey,16,Hortaleza,444909.99,4481298.03,40.48054458,-3.6499635,CARRETERA,ESTACION DE HORTALEZA,18,28033,JARDIN
109175,164,Pinar del Rey,16,Hortaleza,445771.56,4480915.89,40.47715879,-3.63976645,CALLE,SANTA VIRGILIA,19,28033,GARAJE
109177,164,Pinar del Rey,16,Hortaleza,445773.87,4480918.22,40.47717993,-3.63973939,CALLE,SANTA VIRGILIA,19,28033,GARAJE
109178,164,Pinar del Rey,16,Hortaleza,445773.17,4480920.05,40.47719637,-3.63974781,CALLE,SANTA VIRGILIA,19,28033,GARAJE
109180,164,Pinar del Rey,16,Hortaleza,445769.75,4480920.08,40.47719641,-3.63978816,CALLE,SANTA VIRGILIA,19,28033,GARAJE
109182,164,Pinar del Rey,16,Hortaleza,445769.74,4480916.47,40.47716389,-3.63978797,CALLE,SANTA VIRGILIA,19,28033,GARAJE
109187,166,Valdefuentes,16,Hortaleza,445306.38,4482116.26,40.48794178,-3.64535769,AVENIDA,NICETO ALCALA ZAMORA,12,28050,PARCELA
113759,206,Rejas,20,San Blas-Canillejas,449775.22,4477213.65,40.44405857,-3.59224231,CALLE,EUTERPE,27,28022,PARCELA
113761,206,Rejas,20,San Blas-Canillejas,449775.62,4477195.16,40.44389203,-3.59223613,CALLE,EUTERPE,27,28022,PARCELA
