ID-EVENTO,TITULO,TITULO-ACTIVIDAD,DESCRIPCION,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,CONTENT-URL,NOMBRE-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO
50066046,100 Libros juntas,Actividades en el Centro Cultural San Francisco La Prensa,"Dirigida por Marga Melià.  Tras compartir la lectura de casi cien libros a lo largo de una década, cinco mujeres jubiladas deciden celebrar el décimo aniversario de su club de lectura con un fin de semana en una hospedería en las montañas. Durante esta escapada, reflexionan sobre el impacto que estos encuentros han tenido en sus vidas y debaten, como siempre han hecho, sobre temas tanto cotidianos como trascendentales.  Duración: 80 min.  Edad Recomendada: no recomendada para menores de 7 años y distintivo Especialmente recomendada para el fomento de la igualdad de género.",1,,2025-10-25T00:00:00Z,2025-10-25T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dce145cbf9a79910VgnVCM100000891ecb1aRCRD,Centro Cultural San Francisco La Prensa (Carabanchel),CALLE,ALISEDA,4,Carabanchel,Puerta Bonita,28025,437044,4469856,40.37691447788016,-3.7416256113806847,/contenido/actividades/CineActividadesAudiovisuales
50068204,20 años en barbecho,Bulevarte 2025,"20 Años en Barbecho es una banda punk formada por gente que, aunque ya habían estado en otras bandas tenían esto un poco olvidado. Sus letras no se casan con nadie, son opiniones que no entienden de colores. Si te gusta, disfrútalo porque está hecho desde el corazón.",1,,2025-10-18T00:00:00Z,2025-10-18T23:59:00Z,20:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cc7d854b9b489910VgnVCM200000f921e388RCRD,Jardín del Bulevar de Peña Gorbea,CALLE,PEÑA GORBEA,17,Puente de Vallecas,San Diego,28053,443393,4471901,40.3957812018463,-3.6670346724676173,/contenido/actividades/ActividadesCalleArteUrbano
50052187,39º Certamen Coreográfico de Madrid,39º Certamen Coreográfico de Madrid,Más información disponible en la liga,0,L,2025-12-03T00:00:00Z,2025-12-07T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=42781ae2c7839910VgnVCM100000891ecb1aRCRD,Centro de Cultura Contemporánea Conde Duque,CALLE,CONDE DUQUE,9,Centro,Universidad,28015,439723,4475438,40.42739911262292,-3.710589286287491,/contenido/actividades/DanzaBaile
,,,,,M,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,
50065251,4 patas tiene un cuento,Actividades en el Centro Cultural Meseta de Orcasitas,"Compañía: El perro Verde.  Categoría: infantil.  Edad recomendada: mayores de 3 años.   Duración: 60 minutos.  Sinopsis: Una obra de teatro para niños y niñas, y para los no tan pequeños, que relata cuatro cuentos sobre las emociones a través del teatro, la danza y la música. Todo ello contado desde el prisma gamberro y tierno de una madre, que en su creatividad nos lleva de cuento a cuento, y nos abre al mundo que nos rodea y a nuestro interior.",1,,2025-10-05T00:00:00Z,2025-10-05T23:59:00Z,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=64e4c9cfcf579910VgnVCM200000f921e388RCRD,Centro Cultural Meseta de Orcasitas (Usera),PLAZA,ASOCIACION,1,Usera,Orcasitas,28041,439882,4469031,40.36969488211539,-3.7081179166391824,/contenido/actividades/TeatroPerformance
