 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA
12546355;"Actividades en el centro juvenil 'Ouka Leele'. Octubre 2025.";"";"1";"1";"L,M,X,J,V,S,D";"";"2025-10-01 00:00:00.0";"2025-10-31 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=51f73efea2652910VgnVCM1000001d4a900aRCRD";"Actividades en el centro juvenil 'Ouka Leele'. Julio 2025";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4dd63efea2652910VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9721133100fbf810VgnVCM1000001d4a900aRCRD";"Centro Intergeneracional Ouka Leele.
Centro Juvenil-planta 2";"1";"CALLE";"BRONCE";"16";"ARGANZUELA";"LEGAZPI";"28045";"441570";"4471202";"40.389367699255175";"-3.6884383126394686";"/contenido/actividades/DanzaBaile/FolcloreEtnica";"/usuario/Jovenes"
11637821;"Aula Deportiva Municipal de Aire Libre";"";"1";"1";"M,J,V";"";"2025-10-01 00:00:00.0";"2026-05-29 23:59:00.0";"10:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab793e53180cf710VgnVCM1000001d4a900aRCRD";"Aula Deportiva Municipal de Aire Libre";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=860145111b803210VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=882aa4ea6871c010VgnVCM1000000b205a0aRCRD";"Servicio de Actividades Educativas";"1";"PASEO";"CHOPERA";"41";"ARGANZUELA";"CHOPERA";"28045";"440676";"4471741";"40.39415981141737";"-3.6990213657093163";"/contenido/actividades/ActividadesDeportivas/Natacion";"/usuario/Niños"
50030926;"Aula Deportiva Municipal de Ciclismo";"";"1";"1";"M,J";"";"2025-10-01 00:00:00.0";"2026-05-29 23:59:00.0";"10:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d79f3117b909910VgnVCM100000891ecb1aRCRD";"Aula Deportiva Municipal de Ciclismo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e2280d11eb512810VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=882aa4ea6871c010VgnVCM1000000b205a0aRCRD";"Servicio de Actividades Educativas";"1";"PASEO";"CHOPERA";"41";"ARGANZUELA";"CHOPERA";"28045";"440676";"4471741";"40.39415981141737";"-3.6990213657093163";"/contenido/actividades/ActividadesDeportivas/Natacion";"/usuario/Niños"
11638044;"Aula Deportiva Municipal de Escalada";"";"1";"1";"L,X";"";"2025-10-01 00:00:00.0";"2026-05-29 23:59:00.0";"10:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2bc03e53180cf710VgnVCM1000001d4a900aRCRD";"Aula Deportiva Municipal de Escalada";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=82eadafb79741310VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa670286ac984310VgnVCM1000000b205a0aRCRD";"Instalación Deportiva Municipal Rocódromo 'Roc 30'";"0";"AVENIDA";"MANZANARES";"108";"CARABANCHEL";"SAN ISIDRO";"28019";"439001";"4472322";"40.39927267070148";"-3.718824070151145";"/contenido/actividades/ActividadesDeportivas";"/usuario/Niños"
11638265;"Aula Deportiva Municipal de Esgrima";"";"1";"1";"M,J";"";"2025-10-01 00:00:00.0";"2026-05-29 23:59:00.0";"10:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=302ab2b0ea0cf710VgnVCM1000001d4a900aRCRD";"Aula Deportiva Municipal de Esgrima";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9f42f1ae9ec84110VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=28906e8a84805410VgnVCM2000000c205a0aRCRD";"Centro Deportivo Municipal Vallehermoso";"1";"AVENIDA";"FILIPINAS";"7";"CHAMBERI";"VALLEHERMOSO";"28003";"439867";"4476908";"40.44064843863945";"-3.709053489027435";"/contenido/actividades/ActividadesDeportivas";"/usuario/Niños"
50031464;"Aula Deportiva Municipal de Piragüismo";"";"1";"1";"M,J";"";"2025-10-01 00:00:00.0";"2026-05-29 23:59:00.0";"10:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef86f3117b909910VgnVCM100000891ecb1aRCRD";"Aula Deportiva Municipal de Piragüismo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=76c8436ba723a210VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=882aa4ea6871c010VgnVCM1000000b205a0aRCRD";"Servicio de Actividades Educativas";"1";"PASEO";"CHOPERA";"41";"ARGANZUELA";"CHOPERA";"28045";"440676";"4471741";"40.39415981141737";"-3.6990213657093163";"/contenido/actividades/ActividadesDeportivas/Natacion";"/usuario/Niños"
50026391;"Campeonato del Mundo FIM. X-Trial Madrid 2025";"";"0";"0";"";"";"2025-10-25 00:00:00.0";"2025-10-25 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a86813e5cfe8910VgnVCM100000891ecb1aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas/Ciclismo";""
12810210;"Correr por Madrid 2025-2026";"";"0";"1";"L,M,X,J,V,S,D";"";"2025-09-01 00:00:00.0";"2026-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7824813d7d0a7910VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";""
12722511;"Jornada de parkour";"";"0";"0";"";"";"2025-10-18 00:00:00.0";"2025-10-18 23:59:00.0";"11:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cca86c0809e85910VgnVCM2000001f4a900aRCRD";"Jornadas de parkour";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d371a11cf75d4910VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";""
12810699;"Marcha nórdica por Madrid 2025-2026";"";"0";"1";"L,M,X,J,V,S,D";"";"2025-09-01 00:00:00.0";"2026-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3b6a901b761a7910VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";""
