test-ins - Madrid Innova;;;;;;;;;
Evento;Espacio;Tipo;Fecha;Hora Inicio;Hora Fin;Ponente;Dirigido a;inscritos;Descripción
FormaDOOR | Conocer, conectar y comunicar, lo que la IA no puede hacer por tu marca personal;iLAB;Formación;25-09-2025;18:30;20:00;Milagros Ruiz Barroeta;Emprendedores;3;
Transformación digital de la movilidad;iLAB;Conferencia;25-09-2025;09:30;13:00;MB3-GESTIÓN;Empresas;0;
FormaDOOR | Liderar sin improvisar: las 6 ciencias del talento que construyen (o bloquean) tu forma de emprender;iLAB;Formación;23-09-2025;18:30;20:00;Alba Gigante;Emprendedores;8;
Software Crafters Madrid | Entiende los elementos de la programación funcional;Puerta innovación;Conferencia;18-09-2025;18:30;20:00;Ángel Herranz;Desarrolladores;0;
El Futuro del E-Commerce es el I-Commerce;iLAB;Conferencia;16-09-2025;10:00;13:00;Spacemall;Empresas;0;
Tagless-final y la generación de código rápido de streaming o en paralelo para el análisis de datos;iLAB;Conferencia;15-09-2025;18:30;20:00;Habla Computing;Desarrolladores;0;
Taller GoMAD | Testing de aplicaciones de GenAI en Go;iLAB;Taller;03-09-2025;19:00;20:30;Manuel de la Peña;Desarrolladores;0;
Launch Week 15 Madrid;iLAB;Conferencia;31-07-2025;18:00;20:30;Supabase;Emprendedores;0;
?? Verano Emprendedor: Conexiones que Inspiran por Tribu Insight;iLAB;Conferencia;18-07-2025;18:00;20:30;Tribu Insight;Emprendedores;0;
Conecta con el Plan de Empleo de Cruz Roja;iLAB;Conferencia;02-07-2025;10:00;12:00;Cruz Roja;Empresas;0;
FormaDOOR | Anatomía de una venta consultiva: fases y factores críticos de éxito;iLAB;Formación;01-07-2025;18:30;20:00;Sebastián García Posse;Emprendedores;18;
Datamecum | La inteligencia artificial ¿¡se está llevando mi queso!?;iLAB;Conferencia;26-06-2025;19:00;20:30;Carolina Gutiérrez Gallardo, Fco. Javier García Quintana y Emilio Soria-Olivas;Profesionales;0;
Workshop WIT UPM 2025;iLAB;Conferencia;26-06-2025;10:00;13:00;Universidad Politécnica de Madrid;Profesionales;0;
FormaDOOR | 5 preguntas que debes hacerte antes de emprender;iLAB;Formación;25-06-2025;18:30;20:00;Miguel Ángel Vizarreta Pimentel;Emprendedores;16;
FormaDOOR | Proveedores clave: El problema no es contratar, es elegir mal (y pagar de más);iLAB;Formación;24-06-2025;18:30;20:00;Antonio Andújar;Emprendedores;9;
Lexplorers Day;iLAB;Conferencia;24-06-2025;09:00;13:00;Derecho Práctico;Estudiantes;0;
Customer Success Network Madrid;iLAB;Conferencia;19-06-2025;18:00;20:30;Rafa Escaño;Profesionales;0;
Innova Table Talk | IA, Behavioral Economics y agentes sintéticos;Puerta innovación;Conferencia;19-06-2025;18:30;20:00;Juan José López, Rodrigo González, Juan de Rus, Ascensión Oliver y Emma Bernardo;Profesionales;18;
Meetup WordPress | Automatizaciones 101: flujos y agentes IA;Puerta innovación;Taller;18-06-2025;18:30;20:30;Jesús Serrano;Profesionales;0;
EIT Digital | Data Science for Business Innovation;Puerta innovación;Formación;17-06-2025;10:00;17:00;EIT Digital;Profesionales;0;
EIT Digital | Data Science for Business Innovation;Puerta innovación;Formación;16-06-2025;10:00;17:00;EIT Digital;Profesionales;0;
