File,ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,Dirección,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,TIPO,AUDIENCIA
206974-0-agenda-eventos-culturales-100.csv,50066046,100 Libros juntas,,1,0,,,2025-10-25T00:00:00Z,2025-10-25T23:59:00Z,19:00,"Dirigida por Marga Melià.  Tras compartir la lectura de casi cien libros a lo largo de una década, cinco mujeres jubiladas deciden celebrar el décimo aniversario de su club de lectura con un fin de semana en una hospedería en las montañas. Durante esta escapada, reflexionan sobre el impacto que estos encuentros han tenido en sus vidas y debaten, como siempre han hecho, sobre temas tanto cotidianos como trascendentales.  Duración: 80 min.  Edad Recomendada: no recomendada para menores de 7 años y distintivo Especialmente recomendada para el fomento de la igualdad de género.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dce145cbf9a79910VgnVCM100000891ecb1aRCRD,Actividades en el Centro Cultural San Francisco La Prensa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5787e842ec9a6110VgnVCM1000000b205a0aRCRD,Centro Cultural San Francisco La Prensa (Carabanchel),1,CALLE ALISEDA 4,CARABANCHEL,PUERTA BONITA,28025,/contenido/actividades/CineActividadesAudiovisuales,
206974-0-agenda-eventos-culturales-100.csv,50068204,20 años en barbecho,,1,0,,,2025-10-18T00:00:00Z,2025-10-18T23:59:00Z,20:30,"20 Años en Barbecho es una banda punk formada por gente que, aunque ya habían estado en otras bandas tenían esto un poco olvidado. Sus letras no se casan con nadie, son opiniones que no entienden de colores. Si te gusta, disfrútalo porque está hecho desde el corazón.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cc7d854b9b489910VgnVCM200000f921e388RCRD,Bulevarte 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1aaf38317117e210VgnVCM1000000b205a0aRCRD,Jardín del Bulevar de Peña Gorbea,2,CALLE PEÑA GORBEA 17,PUENTE DE VALLECAS,SAN DIEGO,28053,/contenido/actividades/ActividadesCalleArteUrbano,
206974-0-agenda-eventos-culturales-100.csv,50052187,39º Certamen Coreográfico de Madrid,,0,1,"L,M,X,J,V,S,D",,2025-12-03T00:00:00Z,2025-12-07T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=42781ae2c7839910VgnVCM100000891ecb1aRCRD,39º Certamen Coreográfico de Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE CONDE DUQUE 9,CENTRO,UNIVERSIDAD,28015,/contenido/actividades/DanzaBaile,
206974-0-agenda-eventos-culturales-100.csv,50065251,4 patas tiene un cuento,,1,0,,,2025-10-05T00:00:00Z,2025-10-05T23:59:00Z,12:00,"Compañía: El perro Verde.  Categoría: infantil.  Edad recomendada: mayores de 3 años.   Duración: 60 minutos.  Sinopsis: Una obra de teatro para niños y niñas, y para los no tan pequeños, que relata cuatro cuentos sobre las emociones a través del teatro, la danza y la música. Todo ello contado desde el prisma gamberro y tierno de una madre, que en su creatividad nos lleva de cuento a cuento, y nos abre al mundo que nos rodea y a nuestro interior.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=64e4c9cfcf579910VgnVCM200000f921e388RCRD,Actividades en el Centro Cultural Meseta de Orcasitas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Meseta de Orcasitas (Usera),1,PLAZA ASOCIACION 1,USERA,ORCASITAS,28041,/contenido/actividades/TeatroPerformance,/usuario/Niños
206974-0-agenda-eventos-culturales-100.csv,50065367,A golpe de carcajadas,,1,0,,,2025-10-26T00:00:00Z,2025-10-26T23:59:00Z,12:00,"Compañía: Achusychusita.  Categoría: Infantil.  Edad recomendada:  Todos los públicos.   Duración: 60 minutos.  Sinopsis: El payaso Achús donde hace reír a golpe de carcajadas a grandes y pequeños, humor de antes de ahora todo vale para no perder detalle de este peculiar personaje. Sino le conoces te encantará y si repites? por algo será. Que empiece el combate.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d866c92601679910VgnVCM200000f921e388RCRD,Actividades en el Centro Cultural Meseta de Orcasitas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Meseta de Orcasitas (Usera),1,PLAZA ASOCIACION 1,USERA,ORCASITAS,28041,/contenido/actividades/CuentacuentosTiteresMarionetas,/usuario/Niños
206974-0-agenda-eventos-culturales-100.csv,50013813,Abierto x Obras,Entrada libre hasta completar aforo,1,1,"M,X,J,V,S,D",,2025-10-16T00:00:00Z,2026-01-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=acaca2c35cf48910VgnVCM200000f921e388RCRD,Abierto x Obras,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD,Matadero Madrid,1,PLAZA LEGAZPI 8,ARGANZUELA,CHOPERA,28045,/contenido/actividades/ProgramacionDestacadaAgendaCultura,
206974-0-agenda-eventos-culturales-100.csv,50067198,Ábrete Sésamo,,1,0,,,2025-10-19T00:00:00Z,2025-10-19T23:59:00Z,12:00,"Títeres. Cía. Arauca Media.   Recomendada a partir de 5 años.   Un viaje al corazón de oriente y la imaginación: A través de una puesta en escena cuidadosamente elaborada, con una estética radiante, humor y una gran creatividad, transformamos el clásico de Las mil y una noches en un espectáculo de títeres que emociona y conecta con toda la familia. Déjate envolver por la poesía visual, la magia del teatro y el alma de las historias que perduran en el tiempo.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=38e762148df79910VgnVCM100000891ecb1aRCRD,Actividades en el Centro Cultural Miguel de Cervantes,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=24be1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas),1,CALLE ALIAGA 5,SAN BLAS-CANILLEJAS,CANILLEJAS,28022,,/usuario/Niños
206974-0-agenda-eventos-culturales-100.csv,50043503,Acción teatro,Actividad gratuita con inscripción previa,0,1,V,,2025-10-24T00:00:00Z,2026-01-30T23:59:00Z,,"El teatro es utilizar nuestros cinco sentidos para percibir el mundo desde la propia subjetividad, es aceptar el hecho de que somos seres singulares y poner un altavoz a nuestra originalidad. ¿Te atreves a hacer teatro con nosotros? Con la Técnica Conectiva (técnicas teatrales psicofísicas), trataremos de influir en nuestra percepción del mundo y nuestro entorno. Además, hacer teatro ayuda a nuestra autopercepción y nos lleva a reconocernos como creadores y como seres humanos únicos. En este curso trabajaremos sobre todas esas capacidades que nos hacen más flexibles y dinámicos. Porque creemos que todas las personas deben tener un espacio seguro donde desarrollar su arte interpretativo, creando juntos entornos saludables que además mejoren indudablemente nuestra salud emocional y nuestras capacidades. Imparte: Con Causa. Organiza: Casa del Lector. Público: Para mayores de 65 años.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d41770f8ca19910VgnVCM200000f921e388RCRD,El arte de vivir,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD,Matadero Madrid,1,PLAZA LEGAZPI 8,ARGANZUELA,CHOPERA,28045,/contenido/actividades/ProgramacionDestacadaAgendaCultura,/usuario/Mayores
206974-0-agenda-eventos-culturales-100.csv,50066176,Acento Latino,,1,0,,,2025-10-25T00:00:00Z,2025-10-25T23:59:00Z,19:40,"Acento Latino visibiliza la influencia que mantiene la cultura latina en Europa, con una combinación de los ritmos autóctonos de diferentes regiones de Latinoamérica, fusionándolos con rap, jazz, rock y electro, con la misión de crear un sonido original al cual denominan NEW LATIN FLOW.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e0e53cb31ea79910VgnVCM200000f921e388RCRD,Festival de danzas y música Hispanoamericana,,,,,,,,,
206974-0-agenda-eventos-culturales-100.csv,50039628,Achuuuuus,,1,0,,,2025-10-24T00:00:00Z,2025-10-24T23:59:00Z,17:30,"Compañía: Achús y Achusita      UBICACIÓN: Parque Lola Camarena, (Avenida de La Gavia, 13, 28031, Madrid)  Duración: 60 minutos  Edad recomendada: A partir de 3 años  Sinopsis: Achús es un espectáculo familiar que hace disfrutar a tres generaciones, mezclando la diversión, globoflexia, magia y el humor para los más pequeños, desde de los 3 años, hasta los mayores sin límite de edad. Humor sencillo, original y muy sorprendente. ¿Te lo vas a perder?",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b9279e8c34019910VgnVCM100000891ecb1aRCRD,Actividades Calle Abierta,,,,,,,,/contenido/actividades/CircoMagia,/usuario/Niños
