AÑO;DISTRITO;ESPECIE CANINA;ESPECIE FELINA;;;;
2024;CENTRO;20306;13922;;;;
2024;ARGANZUELA;12275;8000;;;;
2024;RETIRO;8842;4634;;;;
2024;SALAMANCA;16572;7015;;;;
2024;CHAMARTÍN;13083;5539;;;;
2024;TETUÁN;14600;8870;;;;
2024;CHAMBERÍ;15873;6740;;;;
2024;FUENCARRAL-EL PARDO;20247;8753;;;;
2024;MONCLOA-ARAVACA;14216;6187;;;;
2024;LATINA;22088;23938;;;;
2024;CARABANCHEL;23664;11638;;;;
2024;USERA;14254;5672;;;;
2024;PUENTE DE VALLECAS;27057;11461;;;;
2024;MORATALAZ;7683;4074;;;;
2024;CIUDAD LINEAL;20188;12380;;;;
2024;HORTALEZA;17856;11617;;;;
2024;VILLAVERDE;15805;5144;;;;
2024;VILLA DE VALLECAS;11725;5490;;;;
2024;VICÁLVARO;5944;2721;;;;
2024;SAN BLAS;15332;8113;;;;
2024;BARAJAS;5565;2343;;;;
2023;ARGANZUELA;12685;7028;;;;
2023;BARAJAS;6068;2176;;;;
2023;CARABANCHEL;24302;9955;;;;
2023;CENTRO;19791;12457;;;;
2023;CHAMARTÍN;13632;5181;;;;
2023;CHAMBERÍ;16040;6351;;;;
2023;CIUDAD LINEAL;20830;11169;;;;
2023;FUENCARRAL-EL PARDO;21246;8199;;;;
2023;HORTALEZA;18929;10671;;;;
2023;LATINA;23040;18398;;;;
2023;MONCLOA-ARAVACA;14946;5490;;;;
2023;MORATALAZ;8147;3561;;;;
2023;PUENTE DE VALLECAS;27953;9564;;;;
2023;RETIRO;9389;4173;;;;
2023;SALAMANCA;16905;6662;;;;
2023;SAN BLAS-CANILLEJAS;16229;7083;;;;
2023;TETUÁN;15002;7815;;;;
2023;USERA;14721;4569;;;;
2023;VICÁLVARO;6377;2273;;;;
2023;VILLA DE VALLECAS;12061;4552;;;;
2023;VILLAVERDE;15896;4190;;;;
2022;ARGANZUELA;11894;5951;;;;
2022;BARAJAS;5087;1751;;;;
2022;CARABANCHEL;20833;8420;;;;
2022;CENTRO;16943;10645;;;;
2022;CHAMARTÍN;11289;4323;;;;
2022;CHAMBERÍ;13873;5347;;;;
2022;CIUDAD LINEAL;17692;9323;;;;
2022;FUENCARRAL-EL PARDO;17742;6686;;;;
2022;HORTALEZA;15795;9297;;;;
2022;LATINA;19416;14783;;;;
2022;MONCLOA-ARAVACA;12655;4601;;;;
2022;MORATALAZ;6865;3028;;;;
2022;PUENTE DE VALLECAS;23595;7855;;;;
2022;RETIRO;7948;3513;;;;
2022;SALAMANCA;14446;5511;;;;
2022;SAN BLAS-CANILLEJAS;14585;5996;;;;
2022;TETUÁN;12693;6554;;;;
2022;USERA;12524;3784;;;;
2022;VICÁLVARO;5410;1913;;;;
2022;VILLA DE VALLECAS;10288;3809;;;;
2022;VILLAVERDE;12362;3432;;;;
2021;ARGANZUELA;10843;5439;;;;
2021;BARAJAS;5139;1623;;;;
2021;CARABANCHEL;20595;6926;;;;
2021;CENTRO;16442;9878;;;;
2021;CHAMARTÍN;11361;4122;;;;
2021;CHAMBERÍ;13632;4987;;;;
2021;CIUDAD LINEAL;17764;8708;;;;
2021;FUENCARRAL-EL PARDO;17712;6630;;;;
2021;HORTALEZA;16057;8964;;;;
2021;LATINA;19253;12184;;;;
2021;MONCLOA-ARAVACA;12572;4226;;;;
2021;MORATALAZ;6865;2722;;;;
2021;PUENTE DE VALLECAS;23675;6699;;;;
2021;RETIRO;7942;3311;;;;
2021;SALAMANCA;13880;5316;;;;
2021;SAN BLAS-CANILLEJAS;14538;5401;;;;
2021;TETUÁN;12607;5909;;;;
2021;USERA;12519;3175;;;;
2021;VICÁLVARO;5335;1634;;;;
2021;VILLA DE VALLECAS;10114;3204;;;;
2021;VILLAVERDE;13470;2933;;;;
2020;ARGANZUELA;10732;5232;;;;
2020;BARAJAS;5165;1562;;;;
2020;CARABANCHEL;20541;6808;;;;
2020;CENTRO;16202;9477;;;;
2020;CHAMARTÍN;11250;3996;;;;
2020;CHAMBERÍ;13466;4782;;;;
2020;CIUDAD LINEAL;17522;8332;;;;
2020;FUENCARRAL-EL PARDO;17617;6373;;;;
2020;HORTALEZA;16031;8731;;;;
2020;LATINA;19206;10867;;;;
2020;MONCLOA-ARAVACA;12545;4042;;;;
2020;MORATALAZ;6836;2603;;;;
2020;PUENTE DE VALLECAS;23485;6395;;;;
