NOMBRE PARQUE,id_treecount,ESPECIE,UNIDADES 2024
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Aesculus hippocastanum,Aesculus hippocastanum,5715
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Platanus x hispanica,Platanus x hispanica,971
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Cercis siliquastrum,Cercis siliquastrum,692
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Celtis australis,Celtis australis,588
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Cupressus sempervirens,Cupressus sempervirens,537
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Gleditsia triacanthos,Gleditsia triacanthos,508
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Ulmus minor,Ulmus minor,429
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Styphnolobium japonicum,Styphnolobium japonicum,392
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Pinus pinea,Pinus pinea,346
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Ulmus pumila,Ulmus pumila,328
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Acer campestre,Acer campestre,321
JARDINES DEL BUEN RETIRO,JARDINES DEL BUEN RETIRO_Otros,Otros,5498
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Pinus pinea,Pinus pinea,938
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Styphnolobium japonicum,Styphnolobium japonicum,797
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Platanus x hispanica,Platanus x hispanica,556
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Ligustrum japonicum,Ligustrum japonicum,395
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Populus alba 'Bolleana',Populus alba 'Bolleana',390
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Cedrus deodara,Cedrus deodara,346
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Celtis australis,Celtis australis,296
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Prunus cerasifera  subsp. pissardii,Prunus cerasifera  subsp. pissardii,294
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Cedrus atlantica,Cedrus atlantica,240
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Populus nigra,Populus nigra,225
PARQUE DEL OESTE - TEMPLO DE DEBOD,PARQUE DEL OESTE - TEMPLO DE DEBOD_Otros,Otros,2553
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Prunus dulcis Marcona,Prunus dulcis Marcona,1079
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Pinus halepensis,Pinus halepensis,1056
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Cupressus sempervirens,Cupressus sempervirens,606
JARDÍN DE LA QUINTA DE LOS MOLINOS,"JARDÍN DE LA QUINTA DE LOS MOLINOS_Prunus dulcis ""Desmayo Largueta""","Prunus dulcis ""Desmayo Largueta""",389
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Pinus pinea,Pinus pinea,334
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Eucalyptus sp,Eucalyptus sp,302
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Cedrus deodara,Cedrus deodara,243
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Platanus x hispanica,Platanus x hispanica,239
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Prunus dulcis,Prunus dulcis,226
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Ulmus sp,Ulmus sp,221
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Gleditsia triacanthos,Gleditsia triacanthos,207
JARDÍN DE LA QUINTA DE LOS MOLINOS,JARDÍN DE LA QUINTA DE LOS MOLINOS_Otros,Otros,1766
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Ligustrum lucidum,Ligustrum lucidum,294
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Cupressus sempervirens,Cupressus sempervirens,132
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Aesculus hippocastanum,Aesculus hippocastanum,77
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Prunus cerasifera  subsp. pissardii,Prunus cerasifera  subsp. pissardii,62
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Cedrus deodara,Cedrus deodara,54
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Acacia dealbata,Acacia dealbata,47
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Populus alba 'Bolleana',Populus alba 'Bolleana',29
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Trachycarpus fortunei,Trachycarpus fortunei,28
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Platanus x hispanica,Platanus x hispanica,26
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Celtis australis,Celtis australis,25
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO,JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO_Otros,Otros,330
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Cercis siliquastrum,Cercis siliquastrum,760
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Cupressus sempervirens,Cupressus sempervirens,349
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Gleditsia triacanthos,Gleditsia triacanthos,208
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Pinus pinea,Pinus pinea,189
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Fraxinus angustifolia,Fraxinus angustifolia,179
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Platanus x hispanica,Platanus x hispanica,139
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Quercus robur,Quercus robur,135
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Acer campestre,Acer campestre,123
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Robinia pseudoacacia,Robinia pseudoacacia,99
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Aesculus hippocastanum,Aesculus hippocastanum,77
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA,JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA_Otros,Otros,1232
JARDINES DE SABATINI,JARDINES DE SABATINI_Cupressus sempervirens,Cupressus sempervirens,85
JARDINES DE SABATINI,JARDINES DE SABATINI_Pinus pinea,Pinus pinea,50
JARDINES DE SABATINI,JARDINES DE SABATINI_Acer negundo,Acer negundo,26
JARDINES DE SABATINI,JARDINES DE SABATINI_Cedrus deodara,Cedrus deodara,21
JARDINES DE SABATINI,JARDINES DE SABATINI_Magnolia grandiflora,Magnolia grandiflora,16
JARDINES DE SABATINI,JARDINES DE SABATINI_Abies nordmanniana,Abies nordmanniana,8
JARDINES DE SABATINI,JARDINES DE SABATINI_Thuja occidentalis,Thuja occidentalis,5
