id,name,address,totalDocks,availableDocks,latitude,longitude
2,2 - Metro Callao,"Calle Miguel Moya nº 1,",27,15,40.4204,-3.70569
3,3 - Plaza Conde Suchil,"Plaza Conde Surchill, 4 ,",19,3,40.430322,-3.707254
4,4 - Malasaña,"Calle Manuela Malasaña nº 3,",27,2,40.428626,-3.7025
5,5 - Fuencarral,"Calle Fuencarral nº 106,",27,4,40.428521,-3.702135
6,6 - Colegio Arquitectos,"Calle Hortaleza nº 63,",19,9,40.424148,-3.698447
7,7 - Hortaleza,"Calle Hortaleza nº 75,",19,18,40.425191,-3.697771
8,8 - Metro Alonso Martínez,"Plaza de Alonso Martínez nº 6,",24,19,40.427868,-3.69544
9,9 - Plaza de San Miguel,"Plaza de San Miguel nº 10,",24,12,40.415606,-3.709508
10,10 - Marqués de la Ensenada,"Calle Marqués de la Ensenada (junto a edif, Centro Colón),",23,21,40.425403,-3.692104
11,11 - Plaza del Dos de Mayo,"Calle San Andrés nº 18 - 20,",23,2,40.427,-3.7036
12,12 - San Hermenegildo,"Calle San Bernardo nº 85 - 87,",27,11,40.428467,-3.706141
13,13 - Conde Duque,"Calle Conde Duque nº 22,",23,3,40.4273,-3.7105
14,14 - Ventura Rodríguez,"Ventura Rodríguez, 3,",27,5,40.426043,-3.713307
15,15 - Norte,"Calle norte nº 10,",19,1,40.426238,-3.707445
16,16 - San Bernardo,"Calle San Bernardo nº 22,",19,7,40.422937,-3.707481
17,17 - Plaza de Carlos Cambronero,"Plaza de Carlos Cambronero nº 2,",23,6,40.423126,-3.704166
18,18 - Plaza de Pedro Zerolo,"Plaza de Pedro Zerolo nº 20,",24,9,40.420925,-3.699678
19,19 - Prim,"Calle Prim nº 4,",28,20,40.421862,-3.695498
20A,20A - Banco de España,"Calle Alcalá nº 48,",27,15,40.418808,-3.695247
23,23 - Santo Domingo,"Plaza de Santo Domingo nº 1,",24,6,40.42026,-3.708249
24,24 - Palacio de Oriente,"Calle Carlos III nº 1,",18,12,40.417767,-3.71065
25A,25A - Plaza de Celenque A,"Plaza de Celenque nº 1,",24,6,40.41737,-3.705779
25B,25B - Plaza de Celenque B,"Plaza de Celenque nº 1,",24,13,40.417369,-3.705898
26,26 - Plaza de las Salesas,"Plaza de las Salesas nº 2,",27,15,40.4239,-3.6945
27,27 - Huertas,"Calle Jesús nº 6,",27,15,40.4133,-3.6957
28,28 - Metro Sevilla,"Calle Alcalá nº 28,",18,17,40.41806,-3.698458
29,29 - Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",23,20,40.416384,-3.695743
30,30 - San Quintín,"Calle Pavía nº 4,",27,8,40.41921,-3.711504
31,31 - Mayor,"Calle Mayor nº 16,",27,18,40.416364,-3.706897
32,32 - Plaza de la Provincia,"Plaza de la Provincia (esquina calle Gerona),",18,17,40.41501,-3.706103
33,33 - Puerta del Sol,"Calle Carretas nº 3,",23,19,40.416587,-3.70333
34,34 - Jacinto Benavente,"Plaza de Jacinto Benavente,",24,3,40.414676,-3.703683
35,35 - Plaza del Cordón,"Plaza del Cordón nº1,",24,18,40.414193,-3.710329
36,36 - Plaza Ramales,"Plaza de Ramales nº1,",24,14,40.4168,-3.71183
37,37 - Plaza de San Francisco,"Plaza de San Francisco,",24,13,40.4108,-3.714113
38,38 - Plaza de los Carros,"Carrera de San Francisco enfrente del nº 2 ,",27,17,40.411359,-3.71159
39,39 - Plaza de la Cebada,"Plaza de la Cebada nº 3,",31,4,40.411274,-3.708834
40,40 - Conde de Romanones,"Plaza del Conde de Romanones nº 2,",18,2,40.413778,-3.704795
41,41 - Metro Antón Martín,"Calle Atocha nº 56,",19,12,40.412205,-3.699115
42,42 - Santa Isabel,"Calle Santa Isabel 32,",27,0,40.410849,-3.698292
43,43 - Jesús y María,"Calle Jesús y María, 38 ,",18,12,40.410039,-3.702471
