id,family,name,email,address,areaCode,zrea,category,catCode,country,URLIcono,long,lat,state,town,emtParking,type
2,001,Colón,,Plaza De Colón S/n,28001,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6899392,40.4247093,Spain,Madrid,False,Aparcamiento
3,001,Corazón De María Ii,,Calle Corazón De María (final Calle),28027,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6455254,40.4385248,Spain,Madrid,False,Aparcamiento
4,001,Encuentro,,Plaza Encuentro,28030,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6513541,40.4054645,Spain,Madrid,False,Aparcamiento
5,001,Nuestra Señora Del Recuerdo,recuerdo@emtmadrid.es,"Calle Hiedra, 26",28036,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.679160,40.472181,Spain,Madrid,True,Aparcamiento
6,001,Corona Boreal,,Plaza Corona Boreal Y Calle Marqués Camarines,28023,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7832,40.4568,Spain,Madrid,False,Aparcamiento
7,001,Avenida De Portugal,avenida.de.portugal@emtmadrid.es,"Avenida De Portugal, S/n. Frente Al Nº 51",28011,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.727515,40.415415,Spain,Madrid,True,Aparcamiento
8,001,Plaza Del Carmen,,Plaza Del Carmen,28013,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7034468,40.4185861,Spain,Madrid,False,Aparcamiento
9,001,Paseo De Recoletos,recoletos@emtmadrid.es,"Paseo De Recoletos, 4",28001,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.692164729674,40.420692539318,Spain,Madrid,True,Aparcamiento
10,001,Condesa De Gavia,,Plaza Condesa De Gavia,28020,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7019123,40.4490039,Spain,Madrid,False,Aparcamiento
12,001,Almagro,almagro@emtmadrid.es,"Calle Almagro, 11",28010,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.692950,40.430390,Spain,Madrid,True,Aparcamiento
14,001,Luna-tudescos,,P. Sta Mª Soledad Torres Acosta Callev Calleluna),28004,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.7049889,40.4215407,Spain,Madrid,False,Aparcamiento
15,001,Jacinto Benavente,jacinto.benavente@emtmadrid.es,"Plaza Jacinto Benavente, S/n",28012,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.703448,40.414267,Spain,Madrid,True,Aparcamiento
16,001,América,,Avenida América (intercambiador),28006,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.67669,40.4380932,Spain,Madrid,False,Aparcamiento
17,001,Arquitecto Ribera (barceló),,"Calle Barceló, 2",28004,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.700464,40.426411,Spain,Madrid,False,Aparcamiento
18,001,Brasil,,Avenida Brasil (entre General Yagüe Y Pedro Texeira),28020,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.69374,40.45615,Spain,Madrid,False,Aparcamiento
19,001,Casino De La Reina,,Calle Casino,28005,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.70545010,40.4066596,Spain,Madrid,False,Aparcamiento
20,001,Descalzas,,Plaza Descalzas Y Plaza San Martín,28013,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.707072,40.418441,Spain,Madrid,False,Aparcamiento
21,001,Palacio Municipal De Congresos,,"Avenida Capital De España, S/n",28043,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6160214,40.46190431,Spain,Madrid,False,Aparcamiento
22,001,Orense,orense@emtmadrid.es,"Avenida General Perón, 27",28020,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.694009,40.453019,Spain,Madrid,True,Aparcamiento
23,001,Daoíz Y Velarde,,Avenida Ciudad De Barcelona ( Calle Alberche Y Calle Téllez),28007,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6784287,40.4030883,Spain,Madrid,False,Aparcamiento
25,001,Marqués De Salamanca,salamanca@emtmadrid.es,"Plaza Marques De Salamanca, S/n",28006,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_elec_p.png,-3.679197,40.430293,Spain,Madrid,True,Aparcamiento
26,001,Felipe Ii,,Avenida Felipe Ii Y Calle Goya),28009,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.67567,40.424015,Spain,Madrid,False,Aparcamiento
27,001,Fuencarral,,"Calle Fuencarral, 111 (entre 111 Y 121)",28010,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.702573,40.4294714,Spain,Madrid,True,Aparcamiento
28,001,General Yagüe,,"Avenida Brasil, 15 Nº15 Al 19",28020,Community of Madrid,General,001,Spain,https://servicios.emtmadrid.es:8443/InfoParking/iconos/IconosCuadradosPico/aparcamiento_p.png,-3.6939585,40.4543339,Spain,Madrid,False,Aparcamiento
