Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;665389;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;1872248;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;426416;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;36977027;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;3981030;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;2252872;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;893528;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;28991125;
2008;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;99006767;
2008;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;29417541;
2008;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;2550761;
2008;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;1300282;
2008;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;1872248;
2008;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;6949329;
2008;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;8562258;
2008;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;4289686;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;223579;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;634893;
2008;Inversión total en protección ambiental de las empresas industriales;Otros;;;54942102;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;17965075;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;4581228;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;4696454;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;3396158;
2008;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;2327182;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;509177;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;2757362;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;653506;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;48044669;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;5011815;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;646341;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;3577664;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;37799546;
2009;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;92084075;
2009;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;38453052;
2009;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;3600227;
2009;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;675615;
2009;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;3986368;
2009;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;2970893;
2009;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;5011815;
2009;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;5087282;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;842865;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;166438;
2009;Inversión total en protección ambiental de las empresas industriales;Otros;;;109852735;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;61808066;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;50067483;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;2324552;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;1509618;
2009;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;3986368;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;5585796;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;4422420;
2010;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;1941423;
