Year,Concept,Tipo territorio,Value
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,45.3
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,25.0
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,36.9
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,61.4
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Parla,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,86.9
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,44.6
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,62.8
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1985,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,-
