FID;Shape;IdStation;Activate;Address;DockBikes;FreeBases;PosicionST;Ligth;Name;NoAvailabl;number;TotalBases;POINT_X;POINT_Y
0;Point;1406;1;Calle Miguel Moya nº 1,;15;12;-3.7056899999999997 40.4204;2;2 - Metro Callao;0;2;27;-3,70569;40,4204
1;Point;1407;1;Plaza Conde Surchill, 4 ,;3;16;-3.7072537000000003 40.4303223;0;3 - Plaza Conde Suchil;0;3;19;-3,707254;40,430322
2;Point;1408;1;Calle Manuela Malasaña nº 3,;2;25;-3.7025 40.4286259;0;4 - Malasaña;0;4;27;-3,7025;40,428626
3;Point;1409;1;Calle Fuencarral nº 106,;4;23;-3.7021354 40.4285212;0;5 - Fuencarral;0;5;27;-3,702135;40,428521
4;Point;1410;1;Calle Hortaleza nº 63,;9;9;-3.6984469999999994 40.424148;2;6 - Colegio Arquitectos;0;6;19;-3,698447;40,424148
5;Point;1411;1;Calle Hortaleza nº 75,;18;1;-3.6977715000000004 40.4251906;1;7 - Hortaleza;0;7;19;-3,697771;40,425191
6;Point;1412;1;Plaza de Alonso Martínez nº 6,;19;5;-3.6954403000000005 40.4278682;1;8 - Metro Alonso Martínez;0;8;24;-3,69544;40,427868
7;Point;1413;1;Plaza de San Miguel nº 10,;12;12;-3.7095084 40.4156057;2;9 - Plaza de San Miguel;0;9;24;-3,709508;40,415606
8;Point;1414;1;Calle Marqués de la Ensenada (junto a edif, Centro Colón),;21;2;-3.6921040000000005 40.425403;1;10 - Marqués de la Ensenada;0;10;23;-3,692104;40,425403
9;Point;1415;1;Calle San Andrés nº 18 - 20,;2;21;-3.7036 40.427;0;11 - Plaza del Dos de Mayo;0;11;23;-3,7036;40,427
10;Point;1416;1;Calle San Bernardo nº 85 - 87,;11;16;-3.7061405999999995 40.4284667;2;12 - San Hermenegildo;0;12;27;-3,706141;40,428467
11;Point;1417;1;Calle Conde Duque nº 22,;3;20;-3.7104999999999997 40.4273;0;13 - Conde Duque;0;13;23;-3,7105;40,4273
12;Point;1418;1;Ventura Rodríguez, 3,;5;22;-3.7133069 40.4260425;0;14 - Ventura Rodríguez;0;14;27;-3,713307;40,426043
13;Point;1419;1;Calle norte nº 10,;1;18;-3.7074453 40.4262383;0;15 - Norte;0;15;19;-3,707445;40,426238
14;Point;1420;1;Calle San Bernardo nº 22,;7;12;-3.7074808485065 40.4229374;2;16 - San Bernardo;0;16;19;-3,707481;40,422937
15;Point;1421;1;Plaza de Carlos Cambronero nº 2,;6;17;-3.7041659999999994 40.423126;0;17 - Plaza de Carlos Cambronero;0;17;23;-3,704166;40,423126
16;Point;1422;1;Plaza de Pedro Zerolo nº 20,;9;15;-3.6996776 40.4209251;2;18 - Plaza de Pedro Zerolo;0;18;24;-3,699678;40,420925
17;Point;1423;1;Calle Prim nº 4,;20;8;-3.6954982999999997 40.4218616;1;19 - Prim;0;19;28;-3,695498;40,421862
18;Point;1424;1;Calle Alcalá nº 48,;15;12;-3.6952465 40.4188076;2;20A - Banco de España;0;20A;27;-3,695247;40,418808
19;Point;1426;1;Plaza de Santo Domingo nº 1,;6;18;-3.708249 40.4202595;0;23 - Santo Domingo;0;23;24;-3,708249;40,42026
20;Point;1427;1;Calle Carlos III nº 1,;12;6;-3.7106495 40.417767;2;24 - Palacio de Oriente;0;24;18;-3,71065;40,417767
21;Point;1428;1;Plaza de Celenque nº 1,;6;18;-3.7057791 40.4173703;0;25A - Plaza de Celenque A;0;25A;24;-3,705779;40,41737
22;Point;1429;1;Plaza de Celenque nº 1,;13;11;-3.7058976 40.4173687;2;25B - Plaza de Celenque B;0;25B;24;-3,705898;40,417369
23;Point;1430;1;Plaza de las Salesas nº 2,;15;12;-3.6945 40.4239;2;26 - Plaza de las Salesas;0;26;27;-3,6945;40,4239
