cod_estacion,nombre,tipo,latitud,longitud,activa,fecha,indice,debido_a
1022001,EL CIEGO,TRAFICO,42.51833,-2.61944,true,2025-09-30T07:00:00,1,O3
1036004,LLODIO,TRAFICO,43.14407,-2.96337,true,2025-09-30T07:00:00,1,PM2.5
1051001,AGURAIN,FONDO,42.849,-2.3937,true,2025-09-30T07:00:00,1,PM2.5
1055001,VALDEREJO,FONDO,42.8752,-3.2317,true,2025-09-30T07:00:00,20,O3
1059008,AVENIDA GASTEIZ,TRAFICO,42.8548,-2.6807,true,2025-09-30T07:00:00,2,NO2
1059009,TRES MARZO,TRAFICO,42.85607,-2.66779,true,2025-09-30T07:00:00,1,PM2.5
1059012,LOS HERRAN,TRAFICO,42.84361,-2.66139,true,2025-09-30T07:00:00,1,NO2
2003001,ALBACETE,FONDO,38.9793,-1.8521,false,2025-09-30T07:00:00,,
2003002,ALBACETE - PARQUE TECNOLOGICO,FONDO,38.9808,-1.8452,true,2025-09-30T07:00:00,20,O3
3002002,AGOST,INDUSTRIAL,38.43606,-0.63804,false,2025-09-30T07:00:00,0,
3009006,ALCOI - VERGE DELS LLIRIS,FONDO,38.70639,-0.46694,true,2025-09-30T07:00:00,20,O3
3014006,ALACANT-EL PLÁ,TRAFICO,38.35944,-0.47194,true,2025-09-30T07:00:00,20,O3
3014008,ALACANT-FLORIDA-BABEL,FONDO,38.34028,-0.50667,true,2025-09-30T07:00:00,20,NO2
3014009,ALACANT - RABASSA,INDUSTRIAL,38.35111,-0.51389,true,2025-09-30T07:00:00,20,O3
3031002,BENIDORM,FONDO,38.57139,-0.14667,true,2025-09-30T07:00:00,2,O3
3065006,ELX-AGROALIMENTARI,FONDO,38.24222,-0.68278,true,2025-09-30T07:00:00,20,O3
3065007,ELX-PARC DE BOMBERS,TRAFICO,38.25917,-0.7175,true,2025-09-30T07:00:00,20,O3
3066003,ELDA-LACY,FONDO,38.45472,-0.80333,true,2025-09-30T07:00:00,10,O3
3099002,ORIHUELA,FONDO,38.08472,-0.85278,true,2025-09-30T07:00:00,10,O3
3105001,EL PINÓS,FONDO,38.45167,-1.06472,true,2025-09-30T07:00:00,20,O3
3133002,TORREVIEJA,TRAFICO,37.99111,-0.69,true,2025-09-30T07:00:00,2,O3
3140001,VILLENA PARQUE FERIA,FONDO,38.63943,-0.87241,true,2025-09-30T07:00:00,2,O3
4013004,MEDITERRÁNEO,TRAFICO,36.84133,-2.44672,true,2025-09-30T07:00:00,2,NO2
4013005,EL BOTICARIO,FONDO,36.86495,-2.3905,true,2025-09-30T07:00:00,2,NO2
4013006,PUERTO DE ALMERÍA,INDUSTRIAL,36.8368,-2.4779,false,2025-09-30T07:00:00,0,
4022001,BÉDAR,FONDO,37.19299,-1.97908,true,2025-09-30T07:00:00,2,O3
4024001,BENAHADUX,INDUSTRIAL,36.9231,-2.46322,true,2025-09-30T07:00:00,10,O3
4032005,PZA. DEL CASTILLO,INDUSTRIAL,36.9968,-1.8954,true,2025-09-30T07:00:00,1,PM10
4032006,LLANO DE DON ANTONIO,INDUSTRIAL,37.0047,-1.9344,false,2025-09-30T07:00:00,,
4035002,PALOMARES,INDUSTRIAL,37.255,-1.7817,false,2025-09-30T07:00:00,,
4064001,MOJÁCAR,FONDO,37.1388,-1.8422,false,2025-09-30T07:00:00,,
4066003,RODALQUILAR,INDUSTRIAL,36.84745,-2.03819,true,2025-09-30T07:00:00,2,O3
4066007,LA JOYA,INDUSTRIAL,36.95,-1.96148,true,2025-09-30T07:00:00,0,
4066008,FERNÁN PÉREZ,INDUSTRIAL,36.8951,-2.0467,false,2025-09-30T07:00:00,,
4066009,LA GRANATILLA,INDUSTRIAL,36.9581,-2.1592,true,2025-09-30T07:00:00,2,O3
4902001,EL EJIDO,FONDO,36.76972,-2.81097,true,2025-09-30T07:00:00,10,O3
5019002,ÁVILA 2,FONDO,40.66472,-4.70083,true,2025-09-30T07:00:00,10,O3
6015001,BADAJOZ,FONDO,38.88759,-7.01139,false,2025-09-30T07:00:00,10,NO2
6016999,BARCARROTA,FONDO,38.47278,-6.92333,true,2025-09-30T07:00:00,1,O3
6022001,BURGUILLOS DEL CERRO,FONDO,38.37031,-6.58865,true,2025-09-30T07:00:00,10,O3
6070001,JEREZ DE LOS CABALLEROS,FONDO,38.32656,-6.75742,true,2025-09-30T07:00:00,20,O3
6081001,MEDINA DE LAS TORRES,FONDO,38.33897,-6.41548,true,2025-09-30T07:00:00,10,O3
6083001,MERIDA,FONDO,38.90622,-6.33923,false,2025-09-30T07:00:00,0,
6158001,ZAFRA,FONDO,38.42795,-6.39735,true,2025-09-30T07:00:00,20,O3
7003001,S'ALBUFERA,FONDO,39.79117,3.07525,true,2025-09-30T07:00:00,20,O3
7003004,ALCUDIA I,FONDO,39.83482,3.14543,true,2025-09-30T07:00:00,20,O3
7010001,HOSPITAL JOAN MARCH,FONDO,39.67883,2.68778,false,2025-09-30T07:00:00,10,PM10
7015001,CIUTADELLA DE MENORCA,FONDO,40.01061,3.85758,true,2025-09-30T07:00:00,10,O3
7019001,MENUT,FONDO,39.83025,2.90072,true,2025-09-30T07:00:00,2,O3
7026001,CAN MISSES,INDUSTRIAL,38.91503,1.41542,true,2025-09-30T07:00:00,20,O3
7026002,DALT VILA,INDUSTRIAL,38.90719,1.43489,false,2025-09-30T07:00:00,,
7032002,POUS,INDUSTRIAL,39.89092,4.25297,true,2025-09-30T07:00:00,20,O3
7032003,PORT DE MAO,INDUSTRIAL,39.89259,4.25703,true,2025-09-30T07:00:00,20,O3
7032999,MAHÓN,FONDO,39.87611,4.32389,true,2025-09-30T07:00:00,3,O3
7040002,FONERS,TRAFICO,39.57125,2.65703,true,2025-09-30T07:00:00,20,O3
7040003,BELLVER,FONDO,39.56453,2.62169,true,2025-09-30T07:00:00,20,O3
7040004,UIB-PARC BIT,FONDO,39.63556,2.64806,true,2025-09-30T07:00:00,20,O3
7040006,SANT JOAN DE DÉU,INDUSTRIAL,39.54769,2.70111,true,2025-09-30T07:00:00,20,O3
7040007,SON LLATZER,INDUSTRIAL,39.5727,2.7031,true,2025-09-30T07:00:00,20,O3
7042001,CAN LLOMPART,FONDO,39.8408,3.0282,false,2025-09-30T07:00:00,,
7044001,SA POBLA,FONDO,39.74847,3.016,true,2025-09-30T07:00:00,20,O3
7046001,SANT ANTONI DE PORTMANY,FONDO,38.99439,1.31014,true,2025-09-30T07:00:00,2,O3
7054001,TORRENT-SANTA EULALIA,FONDO,38.9358,1.43291,true,2025-09-30T07:00:00,20,O3
8015021,BADALONA (MONT-ROIG - AUSIÀS MARCH),FONDO,41.44398,2.23788,true,2025-09-30T07:00:00,2,NO2
8019004,BARCELONA (EL POBLENOU),FONDO,41.40388,2.20452,true,2025-09-30T07:00:00,2,NO2
8019042,BARCELONA (SANTS),FONDO,41.3788,2.1331,true,2025-09-30T07:00:00,2,NO2
8019043,BARCELONA (L'EIXAMPLE),TRAFICO,41.3853,2.1538,true,2025-09-30T07:00:00,2,NO2
8019044,BARCELONA (GRÀCIA - SANT GERVASI),TRAFICO,41.39958,2.15239,true,2025-09-30T07:00:00,2,NO2
8019050,BARCELONA (CIUTADELLA),FONDO,41.3864,2.1874,true,2025-09-30T07:00:00,2,NO2
8019054,BARCELONA (PARC DE LA VALL D'HEBRON),FONDO,41.42608,2.14799,true,2025-09-30T07:00:00,2,NO2
8019057,BARCELONA (PALAU REIAL),FONDO,41.3875,2.1151,true,2025-09-30T07:00:00,2,NO2
8019058,BARCELONA (OBSERVATORI FABRA),FONDO,41.4189,2.1237,true,2025-09-30T07:00:00,2,O3
8022006,BERGA (POLIESPORTIU),FONDO,42.09791,1.84824,true,2025-09-30T07:00:00,1,O3
8074005,CUBELLES (POLIESPORTIU),INDUSTRIAL,41.2022,1.6722,false,2025-09-30T07:00:00,,
8074006,CUBELLES (POLIESPORTIU),FONDO,41.2022,1.6722,true,2025-09-30T07:00:00,1,O3
8089005,GAVÀ (PARC DEL MIL·LENI),FONDO,41.30311,1.99152,true,2025-09-30T07:00:00,10,O3
8096014,GRANOLLERS (FRANCESC MACIÀ),TRAFICO,41.59867,2.28712,true,2025-09-30T07:00:00,2,NO2
8101001,L'HOSPITALET DE LLOBREGAT (AV. DEL TORRENT GORNAL),FONDO,41.3705,2.11497,true,2025-09-30T07:00:00,2,NO2
8102005,IGUALADA (LA MASUCA),INDUSTRIAL,41.5776,1.6259,false,2025-09-30T07:00:00,,
8102007,IGUALADA (VIRTUT-DELICIES),FONDO,41.5776,1.6259,true,2025-09-30T07:00:00,1,PM10
8112003,MANLLEU (HOSPITAL COMARCAL),FONDO,42.00328,2.28727,true,2025-09-30T07:00:00,2,PM2.5
8113007,MANRESA (PL. D'ESPANYA),TRAFICO,41.73028,1.82531,true,2025-09-30T07:00:00,1,NO2
8114006,MARTORELL (POLIESPORTIU MUNICIPAL),FONDO,41.4756,1.9232,true,2025-09-30T07:00:00,2,PM10
8121013,MATARÓ (PASSEIG DELS MOLINS),FONDO,41.54716,2.44325,true,2025-09-30T07:00:00,1,O3
8124009,MOLLET DEL VALLÈS (AP7 KM. 139),TRAFICO,41.5492,2.2121,true,2025-09-30T07:00:00,2,PM2.5
